,,,,,,,,,,,,,,,,,,,,,
CRISIS,Website name,CRISIS ID,COUNTRY,ISO3,DRIVERS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical Impact,Human Impact,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
Conflict in West Bank,Conflict in West Bank,PSE003,Palestine,PSE,"Conflict,Displacement,Socio-political,Violence",3.5,4,High,-,Very High,3.7,2.7,4.1,3.15,3.3,3,3.7,2.5,4.5,Middle east,2023-12-31 00:00:00
Conflict in Gaza,Conflict in Gaza,PSE004,Palestine,PSE,"Conflict,Displacement,Socio-political,Violence",4.2,5,Very High,-,Very High,3.8,0.9,4.6,4.45,3.9,5,4.1,2.5,5,Middle east,2023-12-31 00:00:00
Lake Chad basin regional crisis,Lake Chad basin regional crisis,REG001,"Nigeria,Niger,Chad,Cameroon","NGA,NER,TCD,CMR",0,4.4,5,Very High,Stable,Very High,4.1,3.8,4.3,4.5,5,4,4.4,3.5,5,"Africa,Africa,Africa,Africa",2023-12-26 00:00:00
Venezuela Regional Crisis,Venezuela Regional Crisis,REG002,"Venezuela,Brazil,Colombia,Ecuador,Peru,Trinidad and Tobago,Chile,Dominican Republic,Panama","VEN,BRA,COL,ECU,PER,TTO,CHL,DOM,PAN",0,3.9,4,High,Stable,Medium,3.6,3.4,3.7,4,5,3,3.8,2.7,4.5,"Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas",2023-11-28 00:00:00
Regional Kashmir conflict,Regional Kashmir conflict,REG003,"India,Pakistan","IND,PAK",0,x,x,x,-,Medium,3.1,2.1,3.5,x,x,x,3.3,3,3.5,"Asia,Asia",2023-11-27 00:00:00
Syrian Regional Crisis,Syrian Regional Crisis,REG004,"Syria,Türkiye,Iraq,Egypt,Jordan,Lebanon","SYR,TUR,IRQ,EGY,JOR,LBN",0,4.2,5,Very High,Stable,Medium,3.8,3.1,4.1,4.5,5,4,4.1,3.6,4.5,"Middle east,Middle east,Middle east,Africa,Middle east,Middle east",2023-11-27 00:00:00
Eastern Mediterranean Route ,Eastern Mediterranean Route ,REG006,"Türkiye,Greece","TUR,GRC",0,2.3,3,Medium,Increasing,Medium,2.8,2.3,3,1.8,2.6,1,2.6,2.6,2.5,"Middle east,Europe",2023-12-31 00:00:00
Central Mediterranean Route,Central Mediterranean Route,REG007,"Algeria,Tunisia,Libya,Italy","DZA,TUN,LBY,ITA",0,2.9,3,Medium,Increasing,High,4.1,5,3.5,2,3,1,3.1,2.7,3.5,"Africa,Africa,Africa,Europe",2023-11-30 00:00:00
Western Mediterranean Route,Western Mediterranean Route,REG008,"Algeria,Morocco,Spain","DZA,MAR,ESP",0,2.6,3,Medium,Increasing,High,3.8,5,2.9,1.75,2.5,1,2.7,2.9,2.5,"Africa,Africa,Europe",2023-11-30 00:00:00
Rohingya Regional Crisis,Rohingya Regional Crisis,REG011,"Bangladesh,Myanmar","BGD,MMR",0,4,4,High,Increasing,Very High,3.4,1.3,4.1,4.1,4.2,4,4.1,3.5,4.5,"Asia,Asia",2023-12-27 00:00:00
Southern Africa Regional Food Security Crisis,Southern Africa Regional Food Security Crisis,REG012,"Lesotho,Madagascar,Malawi,Namibia,Eswatini,Zambia,Zimbabwe,Tanzania","LSO,MDG,MWI,NAM,SWZ,ZMB,ZWE,TZA",0,3.9,4,High,Increasing,Very High,3.8,3.9,3.7,4,5,3,3.8,2.7,4.5,"Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa",2023-12-29 00:00:00
Nagorno-Karabakh Conflict,Regional Nagorno-Karabakh Conflict,REG013,"Armenia,Azerbaijan","ARM,AZE",0,2.7,3,Medium,Increasing,Very High,2.8,1.7,3.2,2.5,2,3,2.9,2.7,3,"Middle east,Middle east",2023-12-31 00:00:00
Eastern Africa Regional Drought Crisis,Eastern Africa Regional Drought Crisis,REG014,"Ethiopia,Somalia,Kenya","ETH,SOM,KEN",Drought,4.2,5,Very High,Stable,High,4.2,4.3,4.1,4,5,3,4.5,3.8,5,"Africa,Africa,Africa",2023-12-30 00:00:00
Turkiye / Syria earthquake,Turkiye / Syria earthquake (regional crisis),REG015,"Türkiye,Syria","TUR,SYR",Earthquake,3.6,4,High,Decreasing,High,3.4,2.6,3.7,3.6,4.2,3,3.9,3.1,4.5,"Middle east,Middle east",2023-11-30 00:00:00
Displacement from Russia-Ukraine conflict in Romania,Displacement from Russia-Ukraine conflict,ROU002,Romania,ROU,"Conflict,Displacement",1.7,2,Low,Increasing,Very High,2.9,4.6,1.5,1.25,1.5,1,1.4,1.3,1.5,Europe,2023-12-22 00:00:00
Displacement from Russia-Ukraine conflict in Russia,Displacement from Russia-Ukraine conflict,RUS002,Russia,RUS,"Conflict,Displacement",2.7,3,Medium,Stable,High,3.6,5,2.3,2.25,3.5,1,2.7,2.9,2.5,Europe,2023-12-22 00:00:00
Burundi and DRC refugees in Rwanda,Refugees,RWA002,Rwanda,RWA,Displacement,2.2,3,Medium,Decreasing,Very High,1.9,2.2,1.7,2.45,1.9,3,2,2.5,1.5,Africa,2023-12-27 00:00:00
Complex crisis in Sudan,Complex crisis,SDN001,Sudan,SDN,"Displacement,Violence,Floods",4.9,5,Very High,Stable,Very High,4.9,4.8,5,5,5,5,4.7,4.3,5,Africa,2023-12-31 00:00:00
Refugees in Sudan,Refugees,SDN005,Sudan,SDN,Displacement,3.4,4,High,Decreasing,High,3.4,2.2,3.8,3.2,3.4,3,3.7,4.3,3,Africa,2023-12-31 00:00:00
Drought in Senegal,Drought,SEN002,Senegal,SEN,Drought,2.7,3,Medium,Stable,Very High,3,4.5,1.8,3.25,3.5,3,1.6,2.2,1,Africa,2023-12-26 00:00:00
Complex crisis in El Salvador,Complex crisis,SLV001,El Salvador,SLV,"Displacement,Violence,Floods,Drought",3.1,4,High,Decreasing,High,2.6,3.7,1.9,3.7,3.4,4,2.6,2.1,3,Americas,2023-12-28 00:00:00
Complex crisis in Somalia,Complex crisis,SOM001,Somalia,SOM,"Conflict,Displacement,Floods,Drought",4.7,5,Very High,Stable,High,4.8,4.7,4.9,4.9,4.8,5,4.2,3.9,4.5,Africa,2023-12-19 00:00:00
Mixed Migration Flows in Somalia,Mixed Migration,SOM002,Somalia,SOM,Displacement,2,2,Low,Increasing,High,2.1,1.6,2.3,1,1,1,3.3,3.9,2.5,Africa,2023-12-19 00:00:00
Complex crisis in South Sudan,Complex crisis,SSD001,South Sudan,SSD,"Conflict,Floods,Displacement",4.1,5,Very High,Decreasing,High,4.5,4.6,4.4,3.95,4.9,3,4.1,3.7,4.5,Africa,2023-12-15 00:00:00
Displacement from Russia-Ukraine conflict in Slovakia,Displacement from Russia-Ukraine conflict,SVK002,Slovakia,SVK,"Displacement,Conflict",1.6,2,Low,Decreasing,Very High,2.5,3.8,1.6,1.4,1.8,1,1.1,1.1,1,Europe,2023-12-22 00:00:00
Food Security Crisis in Eswatini,Food Security Crisis,SWZ001,Eswatini,SWZ,Drought,2.4,3,Medium,Stable,High,2.1,3.1,1.5,2.7,2.4,3,2,2.5,1.5,Africa,2023-12-29 00:00:00
Syrian conflict,Conflict,SYR001,Syria,SYR,"Conflict,Displacement,Violence",4.5,5,Very High,Decreasing,High,4.7,4.6,4.8,4.5,5,4,4.5,4.4,4.5,Middle east,2023-12-31 00:00:00
Türkiye / Syria earthquake in Syria,Türkiye / Syria earthquake,SYR002,Syria,SYR,Earthquake,4.1,5,Very High,Increasing,Medium,3.4,2.9,3.6,4.2,4.4,4,4.5,4.4,4.5,Middle east,2023-12-31 00:00:00
Complex crisis in Chad,Complex crisis,TCD001,Chad,TCD,"Conflict,Displacement",4.2,5,Very High,Decreasing,Very High,3.8,4.8,3.1,4.8,4.6,5,3.5,3.5,3.5,Africa,2023-12-26 00:00:00
Lake Chad basin crisis,Lake Chad basin crisis,TCD003,Chad,TCD,Conflict,3.6,4,High,Stable,Very High,2.3,0.6,3,4.05,3.1,5,3.5,3.5,3.5,Africa,2023-12-26 00:00:00
CAR refugees in Chad,CAR refugees,TCD004,Chad,TCD,Displacement,3.5,4,High,Decreasing,Very High,2.3,1.7,2.6,4.25,3.5,5,3,3.5,2.5,Africa,2023-12-26 00:00:00
Darfur refugees in Chad,Darfur refugees,TCD005,Chad,TCD,Displacement,3.6,4,High,Decreasing,Very High,2.7,2,3,4.3,3.6,5,3,3.5,2.5,Africa,2023-12-26 00:00:00
Multiple situations in Thailand,Country level,THA001,Thailand,THA,"Conflict,Displacement",1.8,2,Low,Stable,High,2,1.2,2.4,1.3,1.6,1,2.3,2.5,2,Asia,2023-12-27 00:00:00
Conflict in southern Thailand ,Conflict,THA002,Thailand,THA,Conflict,x,x,x,-,Low,1.7,1.1,2,x,x,x,1.8,2.5,1,Asia,2023-12-27 00:00:00
Myanmar refugees in Thailand,Refugees,THA003,Thailand,THA,Conflict,2,2,Low,Stable,High,1.4,0.5,1.8,2.3,1.6,3,2,2.5,1.5,Asia,2023-12-27 00:00:00
Food Security Crisis in Timor-Leste,Food Security Crisis,TLS003,Timor Leste,TLS,Food Security,2,2,Low,-,Very High,2.1,3.1,1.5,2.7,2.4,3,0.7,0.9,0.5,Asia,2023-11-27 00:00:00
Venezuelan refugees in Trinidad and Tobago,Venezuelan refugees,TTO002,Trinidad and Tobago,TTO,Displacement,1.8,2,Low,Decreasing,High,2,3,1.4,1.5,1,2,2,1.4,2.5,Americas,2023-12-29 00:00:00
Mixed migration flows in Tunisia,Mixed Migration,TUN002,Tunisia,TUN,Displacement,2,2,Low,Stable,High,3.3,4.4,2.6,0.7,0.4,1,2.7,2.4,3,Africa,2023-12-31 00:00:00
Complex situation in Türkiye,Country level,TUR001,Türkiye,TUR,"Displacement,Conflict",3.6,4,High,Decreasing,High,3.5,3.6,3.5,3.75,4.5,3,3.3,3,3.5,Middle east,2023-12-31 00:00:00
Syrian Refugees in Türkiye,Syrian refugees,TUR002,Türkiye,TUR,Displacement,3.1,4,High,Decreasing,Medium,3.1,3.2,3,3.45,3.9,3,2.5,3,2,Middle east,2023-12-31 00:00:00
Mixed Migration Flows in Türkiye,Mixed Migration,TUR003,Türkiye,TUR,Displacement,2.1,3,Medium,Decreasing,High,2.2,2.3,2.2,1.7,2.4,1,2.5,3,2,Middle east,2023-12-31 00:00:00
Kurdish Conflict,Kurdish conflict,TUR004,Türkiye,TUR,Conflict,x,x,x,-,Low,2.6,1.6,3,x,x,x,3,3,3,Middle east,2023-12-31 00:00:00
Türkiye / Syria earthquake in Türkiye,Türkiye / Syria earthquake,TUR005,Türkiye,TUR,Earthquake,3.2,4,High,Decreasing,High,3.2,2.1,3.6,3.5,4,3,2.8,3,2.5,Middle east,2023-12-31 00:00:00
Multiple Crises in Tanzania,Country level,TZA001,Tanzania,TZA,"Displacement,Drought",2.7,3,Medium,Increasing,Very High,3.2,3.4,3.1,2.75,3.5,2,2.1,2.1,2,Africa,2023-12-29 00:00:00
International Displacement in Tanzania,Refugees,TZA002,Tanzania,TZA,Displacement,2.4,3,Medium,Stable,Very High,3.3,2.5,3.6,2.15,2.3,2,2.1,2.1,2,Africa,2023-12-29 00:00:00
Food Security Crisis in North-East Tanzania,Food security in North-East,TZA003,Tanzania,TZA,Drought,2.6,3,Medium,Stable,High,2,2.6,1.7,3.15,3.3,3,2.1,2.1,2,Africa,2023-12-29 00:00:00
International Displacement in Uganda,Refugees,UGA005,Uganda,UGA,Displacement,3.2,4,High,Stable,Medium,3.2,1.7,3.7,3.35,3.7,3,2.9,3.6,2,Africa,2023-12-15 00:00:00
Russia-Ukraine conflict,Russia-Ukraine conflict,UKR002,Ukraine,UKR,"Conflict,Displacement",4.3,5,Very High,Stable,Very High,4.6,4.9,4.5,5,5,5,3.1,2.6,3.5,Europe,2023-12-31 00:00:00
Complex crisis in Venezuela,Complex crisis,VEN001,Venezuela,VEN,"Socio-political,Violence,Floods",4.3,5,Very High,Increasing,Very High,4.6,4.9,4.5,4.5,5,4,3.7,3.3,4,Americas,2023-11-29 00:00:00
Conflict in Yemen,Complex crisis,YEM001,Yemen,YEM,Conflict,4.6,5,Very High,Decreasing,Very High,4.6,4.9,4.5,5,5,5,4,3.9,4,Middle east,2023-12-22 00:00:00
Mixed migration flows in Yemen,Mixed Migration,YEM002,Yemen,YEM,Displacement,2.4,3,Medium,Decreasing,Very High,2.5,1.7,2.9,1.7,2.4,1,3.5,3.9,3,Middle east,2023-12-22 00:00:00
Drought in Zambia,Drought,ZMB002,Zambia,ZMB,Drought,3,3,Medium,Stable,High,3.5,4.1,3.1,3.4,3.8,3,2.1,2.1,2,Africa,2023-12-29 00:00:00
Complex crisis in Zimbabwe,Complex crisis,ZWE001,Zimbabwe,ZWE,"Socio-political,Drought",3.5,4,High,Stable,High,3.9,4.6,3.4,3.55,4.1,3,3,2.9,3,Africa,2023-12-29 00:00:00
