ISO3,Physical exposure to earthquake MMI VI,Physical exposure to earthquake MMI VIII,Annual Expected Exposed People to Floods,Annual Expected Exposed People to Tsunamis,Annual Expected Exposed People to Cyclone's Wind SS1,Annual Expected Exposed People to Cyclone's Wind SS3,Annual Expected Exposed People to Cyclone Surge,Total affected by Drought,Frequency of Drought events,Agriculture Drought probability,GCRI Violent Conflict probability,GCRI Highly Violent Conflict probability,National Power Conflict Intensity (Highly Violent),Subnational Conflict Intensity (Highly Violent),Human Development Index,Multidimensional Poverty Index,Humanitarian Aid (FTS),Development Aid (ODA),Development Aid (ODA),Net ODA received (% of GNI),"Mortality rate, under-5",U5 Under weight,Physicians Density,One-year-olds fully immunized against measles,Incidence of Tuberculosis,Estimated number of people living with HIV - Adult (>15) rate,Health expenditure per capita,Maternal Mortality Rate,Malaria death rate,Gender Inequality Index,Income Gini coefficient,People affected by Natural Disasters,People affected by Natural Disasters,People affected by Natural Disasters,Internally displaced persons (IDPs),Refugees by country of asylum,Returned Refugees,Average Dietary Energy Supply Adequacy,Prevalence of Undernourishment,Domestic Food Price Level Index,Domestic Food Price Volatility Index,HFA Scores Last recent,Government Effectiveness,Corruption Perception Index,Access to electricity,Adult liteacy rate,Internet users,Mobile cellular subscriptions,Road lenght,Improved sanitation facilities (% of population with access),Improved water source (% of population with access),,,,,
LBY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,4,0,0,x,0,0,x,0,x,0,0,0,0,1,0,0,0,x,x,x,0,0,0,1,0,0,0,0,x,20,0.45454545454545453,5,1.5587661999529314,0
LIE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,x,x,x,x,x,x,x,x,0,x,x,x,0,0,0,x,1,0,0,0,x,x,x,0,x,0,x,0,0,0,x,x,1,0.03225806451612903,1,0.17668469596940842,0
LTU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,x,0,x,2,0,0,x,0,0,x,0,1,0,0,0,x,1,0,0,0,0,0,x,0,0,0,3,0,0,0,0,0,7,0.1590909090909091,4,0.5617821406503761,0
LUX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,x,0,x,1,0,0,x,0,0,x,0,1,0,0,0,x,1,0,0,0,0,0,x,0,0,0,x,0,0,0,0,0,3,0.06976744186046512,3,0.2547546779093796,0
MDG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,4,0,0,0,0,0,0,x,3,0,0,0,x,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,28,0.5714285714285714,6,1.8070158058105026,0
MWI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,x,1,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,18,0.36,7,1.034601372510205,0
MYS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,x,0,8,4,0,0,0,0,0,0,0,4,0,0,0,x,1,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,25,0.5208333333333334,6,1.5544235712600631,0
MDV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,4,0,0,1,0,0,x,0,4,0,0,0,x,x,0,0,0,1,1,4,0,x,0,8,0,0,0,0,0,33,0.7021276595744681,9,1.7371399044212934,0
MLI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,4,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,20,0.39215686274509803,6,1.344246000078636,0
MLT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,x,0,x,1,0,0,x,0,0,x,0,x,0,0,0,x,1,0,0,0,0,0,x,0,0,0,3,0,0,0,0,0,5,0.11627906976744186,3,0.4922328020585285,0
MHL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,0,0,0,0,0,7,4,0,0,x,0,0,x,x,x,0,0,0,x,x,0,0,0,x,x,4,0,x,0,x,0,0,0,0,0,15,0.38461538461538464,3,1.3888823142513684,0
MRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,4,0,0,0,0,0,0,0,5,0,0,0,x,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,25,0.5,6,1.4594519519326423,0
MUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,x,x,0,0,0,0,0,x,0,1,0,0,0,x,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0.10869565217391304,3,0.4767763521622024,0
MEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0.21568627450980393,7,0.6043543140165664,0
FSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,9,4,0,0,x,0,0,x,x,x,0,0,0,x,1,0,0,0,x,x,4,0,x,0,x,0,0,0,0,0,18,0.43902439024390244,4,1.6086470680820633,0
MDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,x,0,0,0,0,0,x,1,0,0,0,1,1,6,0,0,0,1,0,0,0,0,0,15,0.30612244897959184,8,0.9519921460971918,0
MNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,3,0,0,1,0,0,x,0,1,0,0,0,x,1,0,0,0,x,2,0,0,0,0,4,0,0,0,0,0,17,0.3541666666666667,8,0.9462554124313137,0
MNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,x,0,0,x,0,0,0,0,0,x,1,0,0,0,x,x,8,0,0,0,3,0,0,0,0,0,15,0.32608695652173914,6,1.2520304869549503,0
MAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,4,0,0,0,0,0,x,0,6,0,0,0,x,1,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,24,0.4897959183673469,7,1.3112145636088988,0
MOZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,2,0,0,0,0,0,0,0,4,0,0,0,x,1,0,0,0,2,2,0,0,0,0,5,0,0,0,0,0,22,0.44,8,1.116422858956229,0
MMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,5,2,0,0,0,0,0,0,0,x,0,0,0,1,1,0,0,0,1,1,6,0,0,0,1,0,0,0,0,0,18,0.3673469387755102,8,1.1373775341300223,0
NAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,4,0,0,0,x,1,0,0,0,1,1,6,0,0,0,7,0,0,0,0,0,26,0.52,9,1.4729562111617576,0
NRU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,0,0,0,x,0,7,4,0,0,x,0,0,x,x,x,0,0,0,x,1,0,0,0,x,x,4,1,x,x,x,3,3,0,0,0,23,0.6052631578947368,7,1.5137870545547005,0
NPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,x,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,14,0.28,6,0.8255906976220118,0
NLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,x,0,x,4,0,0,x,0,0,x,0,1,0,0,0,x,1,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,6,0.13636363636363635,3,0.6248966856757964,0
NZL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,x,0,x,4,0,0,x,0,0,x,0,x,0,0,0,x,1,0,0,0,2,x,0,0,0,0,x,0,0,0,x,0,7,0.17073170731707318,3,0.6950149682329272,0
NIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,x,1,0,0,0,0,0,6,0,0,0,x,0,0,0,0,0,21,0.42857142857142855,5,1.5118578920369088,0
NER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,4,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,0.2549019607843137,6,0.7629441748370086,0
NGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,x,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,6,0,0,0,0,0,17,0.34,7,1.0883014288330233,0
NOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,x,0,x,2,0,0,0,0,0,x,0,1,0,0,0,x,1,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,4,0.08888888888888889,3,0.3541639433446495,0
OMN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,x,0,5,2,0,0,0,0,0,x,0,x,0,0,0,x,1,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,8,0.17777777777777778,3,0.7969076034240492,0
PAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14,0.27450980392156865,7,0.7940571267182975,0
PLW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,4,4,0,0,4,0,0,x,x,x,0,0,0,x,1,0,0,0,x,x,4,0,x,0,1,x,0,0,0,4,22,0.5238095238095238,7,1.2953781436890899,0
PSE,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,2,2,0,x,x,0,x,x,4,0,0,0,1,1,0,0,0,x,x,0,0,x,0,0,0,0,0,0,0,16,0.36363636363636365,7,0.9556270928013018,0
PAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,x,1,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,16,0.32653061224489793,5,1.1497604915104713,0
PNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,3,4,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,x,x,4,0,0,0,1,0,0,0,0,0,18,0.375,7,1.0532687216470449,0
PRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,x,1,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,13,0.2653061224489796,6,0.942759956118457,0
PER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,0.19607843137254902,6,0.5607980253362781,0
PHL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,x,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,13,0.26,6,0.9551963149007643,0
POL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,x,0,x,2,0,0,0,0,0,x,0,1,0,0,0,x,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0.10869565217391304,4,0.37464538999161057,0
PRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,x,0,x,2,0,0,x,0,0,x,0,1,0,0,0,x,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0.15555555555555556,4,0.5559998223643023,0
QAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,x,0,x,4,0,0,x,0,0,x,0,x,0,0,0,x,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.11363636363636363,2,0.6111058936249433,0
ROU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,x,0,x,2,0,0,1,0,0,x,0,1,0,0,0,x,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0.17391304347826086,5,0.5635426694267704,0
RUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,x,0,x,4,0,0,x,0,0,x,0,1,0,0,0,1,1,0,0,0,0,0,x,0,0,0,4,0,0,0,0,0,11,0.24444444444444444,5,0.8473633762194497,0
RWA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4,0,0,0,0,0,0,0,2,0,0,0,x,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,18,0.36,7,1.0150862032359615,0
KNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,x,0,x,x,0,0,x,0,0,x,x,x,0,0,0,x,1,0,0,0,0,x,0,0,x,0,x,0,0,0,8,0,9,0.23076923076923078,2,1.2702016488718806,0
LCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,x,0,0,x,x,x,0,0,0,x,1,0,0,0,0,0,6,0,2,0,x,0,0,0,0,0,15,0.3333333333333333,6,1.0327955589886444,0
VCT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,x,2,0,0,x,0,0,x,x,x,0,0,0,x,1,0,0,0,0,0,x,0,0,0,x,0,0,0,8,0,11,0.2619047619047619,3,1.2546963929767045,0
WSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,4,0,0,x,0,0,x,0,5,0,0,0,x,x,0,0,0,x,x,4,0,0,0,3,0,0,0,0,0,16,0.36363636363636365,4,1.1695163936607824,0
STP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,x,0,0,0,0,0,0,x,3,0,0,0,x,1,0,0,0,x,x,x,0,0,0,6,0,0,0,0,0,21,0.4666666666666667,5,1.469693845669907,0
SAU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,x,0,9,2,0,0,x,0,0,0,0,x,0,0,0,x,1,0,0,0,1,0,x,0,0,0,1,0,0,0,0,0,14,0.3111111111111111,5,1.3633654800158193,0
SEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0.17647058823529413,5,0.647949476151306,0
SRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,x,0,3,0,0,0,x,1,0,0,0,x,2,0,0,0,0,3,0,0,0,0,0,14,0.2916666666666667,6,0.8650224788344456,0
SYC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,2,2,0,0,x,0,0,x,x,7,0,0,0,x,x,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,17,0.37777777777777777,6,1.234483947762769,0
SLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,2,0,0,0,x,1,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,16,0.32,7,1.0476640682967036,0
SGP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,x,0,x,1,0,0,x,0,0,x,0,x,0,0,0,x,1,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,11,0.25,4,1.208398639823495,0
SVK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,x,0,x,2,0,0,0,0,0,x,0,1,0,0,0,x,1,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,4,0.08888888888888889,3,0.3541639433446495,0
SVN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,x,0,x,3,0,0,0,0,0,x,0,1,0,0,0,x,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0.13043478260869565,4,0.4938181170261107,0
SLB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,7,4,0,0,x,0,0,0,x,8,0,0,0,x,1,0,0,0,x,x,6,0,x,0,x,0,0,0,0,0,26,0.6046511627906976,5,1.8694550242289667,0
SOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,8,0,0,0,0,0,5,4,0,0,0,x,0,0,2,x,0,0,0,1,1,0,0,0,x,x,x,0,0,0,x,0,0,0,4,4,29,0.6590909090909091,8,1.6779747237529292,0
ZAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,0,0,0,0,0,0,2,0,0,0,x,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14,0.28,6,0.96,0
SSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,x,0,0,0,0,0,0,x,x,0,0,0,1,0,0,0,0,x,x,x,0,0,0,6,0,0,0,0,0,15,0.3333333333333333,4,1.1925695879998879,0
ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,x,0,x,1,0,0,1,0,0,x,0,1,0,0,0,x,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0.10869565217391304,5,0.31125697963644244,0
LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,2,4,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,13,0.26,6,0.8440379138403677,0
SDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,x,x,4,0,0,0,1,0,0,0,1,1,20,0.40816326530612246,8,1.105060111892317,0
SUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,2,0,0,0,0,0,0,0,x,0,0,0,x,1,0,0,0,1,1,x,0,0,0,4,0,0,0,0,0,17,0.3541666666666667,7,1.0101481602000548,0
SWZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,5,0,0,0,0,0,0,0,4,0,0,0,x,1,0,0,0,x,x,0,0,0,0,4,0,0,0,0,0,22,0.4583333333333333,6,1.2903218806001686,0
SWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,x,0,x,3,0,0,0,0,0,x,0,1,0,0,0,x,1,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,5,0.1111111111111111,3,0.48176629752619554,0
CHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,x,0,x,2,0,0,1,0,0,x,0,1,0,0,0,x,1,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,5,0.1111111111111111,4,0.3784308081316978,0
SYR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,x,0,5,4,0,0,0,0,0,x,0,9,0,0,0,1,1,0,0,0,x,x,6,0,0,0,1,0,0,0,0,0,32,0.6808510638297872,8,1.8691946494125444,0
TJK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,4,0,0,0,x,1,0,0,0,x,x,6,0,0,0,1,0,0,0,0,0,17,0.3541666666666667,7,1.0895255720827401,0
TZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,x,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,13,0.26,6,0.7952358140828417,0
THA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,4,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,21,0.4117647058823529,7,1.3601682506685981,0
MKD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,4,0,0,1,0,0,x,0,5,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,21,0.42,10,1.06,0
TLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,3,0,0,x,0,0,0,x,6,0,0,0,1,1,0,0,0,x,x,6,0,0,0,4,0,0,0,0,0,30,0.6382978723404256,8,1.603527121822704,0
TGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,0.21568627450980393,5,0.749214634295796,0
TON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,2,4,0,0,x,0,0,x,0,4,0,0,0,x,1,0,0,0,x,x,4,0,x,0,3,0,0,0,0,0,18,0.4090909090909091,6,1.1143318792846604,0
TTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,x,0,x,4,0,0,1,0,0,x,0,x,0,0,0,x,1,0,0,0,1,1,4,0,0,0,1,0,0,0,0,0,21,0.45652173913043476,8,1.4096950292933457,0
TUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,4,0,0,0,0,0,x,0,3,0,0,0,x,1,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,19,0.3877551020408163,7,1.026512354282391,0
TUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,1,3,0,0,x,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0.14285714285714285,5,0.4948716593053935,0
TKM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,x,4,0,0,x,0,0,x,x,x,0,0,0,x,1,0,0,0,x,x,x,0,0,0,1,0,0,0,9,9,24,0.5853658536585366,5,2.011862500224515,0
TUV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,0,0,0,0,0,7,4,0,0,x,0,0,x,x,x,0,0,0,x,x,0,0,0,x,x,x,0,x,0,x,1,0,0,2,0,14,0.3684210526315789,4,1.30628143642009,0
UGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,x,0,0,0,2,0,0,0,0,0,15,0.3,7,0.8544003745317531,0
UKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,x,1,0,0,0,0,0,x,0,0,0,0,0,1,1,0,0,0,1,0,x,0,0,0,1,0,0,0,0,0,7,0.14583333333333334,6,0.4077163706412693,0
ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,x,0,x,4,0,0,x,0,0,x,0,x,0,0,0,x,1,0,0,0,x,x,0,0,0,0,x,0,0,0,0,0,5,0.12195121951219512,2,0.632267385210523,0
GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,x,0,x,1,0,0,1,0,0,x,0,1,0,0,0,x,1,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,4,0.08888888888888889,4,0.28458329944145994,0
USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,x,0,2,3,0,0,x,0,0,x,0,0,0,0,0,x,1,0,0,0,0,0,4,0,0,0,x,0,0,1,0,0,11,0.24444444444444444,5,0.7931808132255443,0
URY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,3,4,0,0,0,0,0,x,0,0,0,0,0,x,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,13,0.2708333333333333,5,0.9069082858199548,0
UZB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,1,0,0,0,0,0,x,x,10,0,0,0,x,1,0,0,0,x,x,8,0,0,0,1,0,0,0,0,3,40,0.8695652173913043,8,2.419204824911923,0
VUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,4,0,0,x,0,0,0,x,3,0,0,0,x,1,0,0,0,x,x,4,0,x,0,1,0,0,0,0,0,21,0.4666666666666667,7,1.359738536958076,0
VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,x,0,5,x,0,0,0,0,0,0,0,7,0,0,0,x,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,16,0.3404255319148936,4,1.2928048962521967,0
VNM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,x,1,0,0,0,x,x,0,0,0,0,5,0,0,0,0,0,12,0.25,6,0.8539125638299665,0
YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,x,0,1,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,3,3,23,0.46,9,1.3595587519485872,0
ZMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,0,0,0,x,1,0,0,0,1,1,6,0,0,0,7,0,0,0,0,0,22,0.44,8,1.3588230201170424,0
ZWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,x,0,0,0,1,1,0,0,0,x,x,0,0,0,0,3,0,0,0,0,0,8,0.16666666666666666,4,0.6236095644623235,0
