Crisis,DRIVERS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
0,,,,,sq. Km,Number,Number,Number,Number,,Number,Number,Number,Number,million USD,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,
Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,210622,9014000,1903000,509000,x,x,751,x,x,#N/A,x,7112000,0,1178000,725000,0,4,x,x,1.0,1.0,2.0,3.0,0.0,1.0,2.0,1.0,3.0
Nigerian Refugees,Displacement,NER004,Niger,NER,41796,5057000,796000,99000,x,x,22,0,0,#N/A,0,4261000,0,532000,264000,0,3,x,x,1.0,0.0,2.0,3.0,0.0,1.0,0.0,1.0,2.0
Complex crisis in Niger,"Conflict,Displacement,Drought,Floods,Food Security,Violence",NER006,Niger,NER,1186408,27139000,9900000,944000,x,x,792,x,x,#N/A,x,17239000,5600000,3023000,1277000,x,4,x,x,1.0,1.0,2.0,3.0,0.0,2.0,2.0,1.0,3.0
Complex crisis in Nigeria,"Conflict,Displacement,Violence,Epidemic,Floods",NGA001,Nigeria,NGA,910770,200346000,114443000,6787000,x,4996787,4693,x,x,#N/A,x,85903000,82685000,30759000,999000,0,4,x,x,1.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0
Middle belt conflict,"Violence,Conflict",NGA003,Nigeria,NGA,142964,18515000,10738000,586000,x,x,676,x,x,#N/A,x,7777000,7607000,3105000,26000,0,2,x,x,1.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0
Lake Chad basin crisis in Nigeria,"Conflict,Displacement",NGA004,Nigeria,NGA,157918,16100000,16100000,4656000,x,4800000,1307,x,x,#N/A,x,0,8200000,5600000,2100000,200000,3,x,x,1.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0
Northwest Banditry,"Violence,Displacement",NGA007,Nigeria,NGA,237708,43885000,27988000,803000,x,x,2403,x,x,#N/A,x,15897000,17748000,9757000,483000,0,2,x,x,1.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0
Cameroonian Refugees in Nigeria,Displacement,NGA008,Nigeria,NGA,108869,12675000,100000,100000,x,x,x,x,x,#N/A,x,12575000,0,100000,x,x,2,x,x,1.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0
Socioeconomic crisis in Nicaragua,Socio-political,NIC001,Nicaragua,NIC,120340,7198000,1773000,250000,x,x,8,x,x,#N/A,x,5425000,1773000,x,x,x,x,x,x,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Complex crisis in Pakistan,"Displacement,Conflict",PAK001,Pakistan,PAK,770880,245145000,94415000,3598000,12900,x,1149,1200000,805000,#N/A,x,150730000,73815000,19000000,1600000,0,3,x,x,2.0,2.0,2.0,0.0,2.0,3.0,1.0,1.0,3.0
Kashmir conflict in Pakistan,Conflict,PAK004,Pakistan,PAK,13297,4179000,x,x,x,x,4,x,x,#N/A,x,4179000,x,x,x,x,3,x,x,2.0,1.0,2.0,0.0,2.0,3.0,1.0,1.0,3.0
Floods in Pakistan ,Other seasonal event,PAK005,Pakistan,PAK,669831,33000000,33000000,300000,12867,0,1739,1200000,805000,#N/A,0,0,12400000,20570000,30000,0,2,#N/A,#N/A,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0
Venezuela displacement in Panama,Displacement,PAN002,Panama,PAN,74180,58000,58000,58000,x,x,14,x,x,#N/A,x,0,23000,36000,0,0,2,x,x,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0
Venezuela displacement in Peru,Displacement,PER002,Peru,PER,189315,34353000,14621000,1610000,x,x,0,x,x,#N/A,x,19732000,13560000,1060000,0,0,3,x,x,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,3.0
Multiple crises in the Philippines,"Conflict,Cyclone,Violence,Floods,Other seasonal event",PHL001,Philippines,PHL,229408,91646000,8015000,251000,51,x,226,17118,1942,#N/A,221110472,83631000,7731000,284000,x,x,4,x,x,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0
Mindanao conflict,"Conflict,Violence",PHL003,Philippines,PHL,99949,26252000,108000,108000,0,0,133,0,0,#N/A,0,26144000,0,108000,x,x,4,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0
2024 Southwest Monsoon,"Cyclone,Floods",PHL015,Philippines,PHL,129459,65393000,7906000,143000,51,x,93,17118,1942,#N/A,221110472,57487000,7731000,175000,0,0,4,x,x,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
Multiple crises in Papua New Guinea,0,PNG001,Papua New Guinea,PNG,124455,4711000,320000,27000,2,x,21,1387,x,#N/A,x,4391000,255000,65000,x,x,4,x,x,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0
Highlands Violence,Violence,PNG003,Papua New Guinea,PNG,63679,4566000,265000,25000,x,x,21,x,x,#N/A,x,4302000,233000,31000,x,x,4,x,x,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0
2024 Monsoon Flooding in Western Province,Floods,PNG005,Papua New Guinea,PNG,60776,145000,55000,2000,2,x,0,1387,x,#N/A,x,89000,22000,34000,x,x,3,x,x,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Displacement from Russia-Ukraine conflict in Poland,"Displacement,Conflict",POL002,Poland,POL,306100,37792000,970000,970000,x,x,0,0,0,#N/A,x,36822000,0,970000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Complex crisis in DPRK,"Socio-political,Floods,Other seasonal event,Food Security",PRK001,DPRK,PRK,120410,26172000,26172000,34000,0,x,30,x,x,#N/A,x,0,15254000,4970000,5459000,0,1,x,x,1.0,2.0,3.0,0.0,1.0,2.0,0.0,0.0,2.0
Conflict in Palestine,"Conflict,Socio-political,Violence",PSE002,Palestine,PSE,6025,5544000,4796000,6590000,22891,x,9305,74432,57223,#N/A,x,748000,1496000,1875000,879000,546000,5,x,x,1.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0
Conflict in West Bank,"Conflict,Displacement,Socio-political,Violence",PSE003,Palestine,PSE,5660,3244000,2496000,2973000,1688,x,261,x,11000,#N/A,x,748000,1496000,840000,120000,40000,5,x,x,1.0,3.0,2.0,0.0,2.0,3.0,2.0,2.0,0.0
Conflict in Gaza,"Conflict,Displacement,Socio-political,Violence",PSE004,Palestine,PSE,365,2300000,2300000,3617000,21203,x,9044,74432,46223,#N/A,x,0,0,1035000,759000,506000,5,x,x,1.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0
Lake Chad basin regional crisis,0,REG001,"Nigeria,Niger,Chad,Cameroon","NGA,NER,TCD,CMR",368971,21538000,11099000,5456000,1,x,1935,0,4300,#N/A,5200000,10439000,0,5819000,4406000,874000,5,x,800000,1.0,3.0,1.0,3.0,0.0,3.0,3.0,3.0,3.0
Venezuela Regional Crisis,0,REG002,"Venezuela,Brazil,Colombia,Ecuador,Peru,Trinidad and Tobago,Chile,Dominican Republic,Panama","VEN,BRA,COL,ECU,PER,TTO,CHL,DOM,PAN",5811256,214402000,64593000,11996000,x,x,512,x,x,#N/A,x,149809000,37651000,26943000,0,0,5,x,x,1.0,3.0,2.0,0.0,0.0,2.0,2.0,2.0,3.0
Syrian Regional Crisis,0,REG004,"Syria,Türkiye,Iraq,Egypt,Jordan,Lebanon","SYR,TUR,IRQ,EGY,JOR,LBN",566255,201624000,39600000,20199000,x,x,3143,x,x,#N/A,x,162023000,17456000,13401000,8677000,67000,5,#N/A,x,1.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,0.0
Eastern Mediterranean Route ,0,REG006,"Türkiye,Greece","TUR,GRC",150195,16386000,854000,507000,x,x,6,x,x,#N/A,x,15532000,434000,362000,51000,6000,3,x,x,1.0,1.0,1.0,0.0,2.0,3.0,0.0,3.0,0.0
Central Mediterranean Route,0,REG007,"Algeria,Tunisia,Libya,Italy","DZA,TUN,LBY,ITA",4600608,125934000,1378000,1378000,x,x,839,x,x,#N/A,x,124556000,0,1378000,x,x,4,x,x,0.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0
Western Mediterranean Route,0,REG008,"Algeria,Morocco,Spain","DZA,MAR,ESP",3327774,133006000,378000,378000,x,x,75,x,x,#N/A,x,132628000,0,378000,x,x,4,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Rohingya Regional Crisis,0,REG011,"Bangladesh,Myanmar","BGD,MMR",37488,5010000,5010000,1307000,x,x,2844,x,x,#N/A,x,0,1794000,1752000,1464000,x,5,x,x,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0
Southern Africa Regional Food Security Crisis,0,REG012,"Madagascar,Malawi,Namibia,Eswatini,Zambia,Zimbabwe,Tanzania","MDG,MWI,NAM,SWZ,ZMB,ZWE,TZA",2753873,101169000,67634000,508000,4,284825,3252,437,437,#N/A,228,33535000,37845000,29607000,183000,0,5,#N/A,#N/A,2.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0,3.0
Nagorno-Karabakh Conflict,0,REG013,"Armenia,Azerbaijan","ARM,AZE",33014,3060000,508000,142000,250,x,6,x,x,#N/A,x,2552000,353000,154000,0,0,2,x,x,1.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,0.0
Eastern Africa Regional Drought Crisis,Drought,REG014,"Ethiopia,Somalia,Kenya","ETH,SOM,KEN",2171646,142109000,133035000,2946000,4893,895980,315,x,x,#N/A,7852053,9074000,109012000,11833000,12190000,0,5,x,x,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0
Turkiye / Syria earthquake,Earthquake,REG015,"Türkiye,Syria","TUR,SYR",155377,27000000,17900000,3123000,0,x,0,308000,10600,#N/A,x,9100000,14723000,3021000,150000,6000,5,x,x,1.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,0.0
Displacement from Russia-Ukraine conflict in Romania,"Conflict,Displacement",ROU002,Romania,ROU,238396,19209000,162000,162000,x,x,0,0,0,#N/A,x,19047000,0,162000,x,x,2,x,x,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Displacement from Russia-Ukraine conflict in Russia,"Conflict,Displacement",RUS002,Russia,RUS,16376870,145464000,1228000,1228000,x,x,0,x,x,#N/A,x,144237000,0,1228000,0,0,2,x,x,1.0,1.0,2.0,0.0,3.0,3.0,1.0,0.0,0.0
Burundi and DRC refugees in Rwanda,Displacement,RWA002,Rwanda,RWA,20524,2517000,135000,135000,x,x,x,0,0,#N/A,0,2382000,0,135000,0,0,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Complex crisis in Sudan,"Displacement,Violence,Floods",SDN001,Sudan,SDN,1840687,49000000,49000000,14034000,6000,x,5475,48200,24800,#N/A,14851,0,24214000,10547000,10651000,3588000,5,x,x,2.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0
Refugees in Sudan,Displacement,SDN005,Sudan,SDN,1840687,49000000,13007000,909000,x,x,3,x,x,#N/A,x,35993000,12098000,909000,x,x,2,#N/A,#N/A,2.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,3.0
Drought in Senegal,Drought,SEN002,Senegal,SEN,196710,18032000,3395000,4000,0,0,15,0,0,#N/A,x,14638000,2876000,507000,12000,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Complex crisis in El Salvador,"Displacement,Violence,Floods,Drought",SLV001,El Salvador,SLV,20720,6300000,4078000,49000,x,x,10,x,x,#N/A,x,2222000,2963000,446000,669000,0,3,x,x,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0
Complex crisis in Somalia,"Conflict,Displacement,Floods,Drought",SOM001,Somalia,SOM,627340,18700000,18700000,8160000,x,1616927,2494,x,x,#N/A,x,0,11830000,3504000,2130000,1237000,5,x,x,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
Mixed Migration Flows in Somalia,Displacement,SOM002,Somalia,SOM,98924,2694000,40000,40000,x,x,x,x,x,#N/A,x,2654000,0,40000,x,x,2,x,x,1.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
Complex crisis in South Sudan,"Conflict,Floods,Displacement",SSD001,South Sudan,SSD,644329,12400000,12400000,7223000,x,170,558,x,x,#N/A,x,0,3853000,1282000,7179000,85000,5,x,x,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0
Displacement from Russia-Ukraine conflict in Slovakia,"Displacement,Conflict",SVK002,Slovakia,SVK,48080,5558000,126000,126000,x,x,0,x,x,#N/A,x,5432000,0,126000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Food Security Crisis in Eswatini,Drought,SWZ001,Eswatini,SWZ,17200,1205000,706000,x,0,0,0,#N/A,#N/A,#N/A,#N/A,499000,463000,243000,0,0,1,#N/A,#N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Syrian conflict,"Conflict,Displacement,Violence",SYR001,Syria,SYR,185180,23460000,23460000,15302000,x,x,2717,x,x,#N/A,x,0,6799000,8588000,8074000,0,5,x,1160000,1.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0
Türkiye / Syria earthquake in Syria,Earthquake,SYR002,Syria,SYR,57285,13578000,8800000,123000,0,x,0,10000,10600,#N/A,x,4778000,8223000,297000,280000,0,5,x,x,1.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0
Complex crisis in Chad,"Conflict,Displacement",TCD001,Chad,TCD,1284000,18894000,6010000,1709000,x,x,162,x,x,#N/A,x,12884000,0,5475000,534000,0,4,x,x,0.0,2.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0
Lake Chad basin crisis,Conflict,TCD003,Chad,TCD,22320,730000,512000,264000,x,x,84,x,x,#N/A,x,218000,0,450000,62000,0,4,x,x,0.0,1.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0
CAR refugees in Chad,Displacement,TCD004,Chad,TCD,148765,3905000,1097000,211000,x,x,31,x,0,#N/A,x,2808000,0,1094000,2000,0,3,x,x,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0
Darfur refugees in Chad,Displacement,TCD005,Chad,TCD,374096,3127000,2114000,1234000,x,x,47,x,0,#N/A,x,1013000,0,2005000,109000,0,2,x,x,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
Conflict in northern region,"Conflict,Displacement,Violence",TGO002,Togo,TGO,8560,1195000,359000,58000,x,x,73,x,x,#N/A,x,836000,239000,120000,0,0,3,x,x,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0
Myanmar refugees in Thailand,Conflict,THA003,Thailand,THA,12012,428000,125000,125000,x,x,0,x,x,#N/A,x,303000,0,125000,x,x,2,x,x,1.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0
Food Security Crisis in Timor-Leste,Food Security,TLS003,Timor Leste,TLS,14950,1340000,858000,0,0,x,0,x,x,#N/A,x,483000,494000,342000,22000,0,1,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Venezuelan refugees in Trinidad and Tobago,Displacement,TTO002,Trinidad and Tobago,TTO,5130,1535000,212000,36000,x,x,0,x,x,#N/A,x,1323000,174000,39000,0,0,3,x,x,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Mixed migration flows in Tunisia,Displacement,TUN002,Tunisia,TUN,163610,12292000,85000,85000,x,x,839,0,0,#N/A,x,12207000,0,85000,x,x,4,x,x,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0
Complex situation in Türkiye,"Displacement,Conflict",TUR001,Türkiye,TUR,333028,52050000,16982000,5610000,x,x,34,x,x,#N/A,x,35068000,12047000,4278000,584000,73000,5,x,x,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0
Syrian Refugees in Türkiye,Displacement,TUR002,Türkiye,TUR,203090,42290000,7200000,3333000,x,x,0,0,0,#N/A,x,35090000,4744000,1857000,533000,67000,3,x,x,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0
Mixed Migration Flows in Türkiye,Displacement,TUR003,Türkiye,TUR,140419,15736000,682000,316000,x,x,3,0,0,#N/A,x,15054000,449000,176000,51000,6000,3,x,x,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0
Kurdish Conflict,Conflict,TUR004,Türkiye,TUR,81458,5833000,x,1200000,x,x,0,x,x,#N/A,x,x,x,x,x,x,2,x,x,1.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0
Türkiye / Syria earthquake in Türkiye,Earthquake,TUR005,Türkiye,TUR,98092,13422000,9100000,761000,0,x,0,3273605,298000,#N/A,34000000000,4322000,6854000,2246000,x,x,3,x,x,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Multiple Crises in Tanzania,"Displacement,Drought",TZA001,Tanzania,TZA,441435,22102000,17124000,233000,x,x,0,x,x,#N/A,x,4978000,16512000,613000,0,0,2,x,x,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0
International Displacement in Tanzania,Displacement,TZA002,Tanzania,TZA,187103,15015000,15015000,233000,0,x,0,x,x,#N/A,x,0,14782000,233000,x,x,2,x,x,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0
Food Security Crisis in North-East Tanzania,Drought,TZA003,Tanzania,TZA,357159,7087000,2109000,x,x,x,0,x,x,#N/A,x,4978000,1730000,379000,0,0,2,x,x,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0
International Displacement in Uganda,Displacement,UGA005,Uganda,UGA,26513,7775000,1741000,1741000,x,127024,x,x,x,#N/A,x,6033000,0,1741000,x,x,2,#N/A,#N/A,2.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0
Russia-Ukraine conflict,"Conflict,Displacement",UKR002,Ukraine,UKR,603628,38157000,16749000,14283000,4502,x,33632,x,x,#N/A,486000000000,21408000,2127000,9504000,1170000,3948000,4,x,x,1.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0
Complex crisis in Venezuela,"Socio-political,Violence,Floods",VEN001,Venezuela,VEN,882050,28838000,19899000,7700000,x,x,236,x,x,#N/A,x,8940000,12299000,7600000,0,0,5,x,x,2.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0
Typhoon Yagi in Vietnam,Cyclone,VNM003,Vietnam,VNM,150058,45400000,3600000,130000,1922,x,307,240600,x,#N/A,x,41800000,3030000,570000,x,x,4,x,x,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Conflict in Yemen,Conflict,YEM001,Yemen,YEM,527970,34450000,34450000,5797000,1037,35674,1009,x,x,#N/A,x,0,16250000,6916000,6188000,5096000,5,x,x,1.0,3.0,2.0,0.0,2.0,3.0,2.0,2.0,2.0
Mixed migration flows in Yemen,Displacement,YEM002,Yemen,YEM,131000,369000,369000,369000,234,35674,86,x,x,#N/A,x,0,0,0,369000,0,1,x,x,1.0,3.0,2.0,0.0,0.0,2.0,2.0,3.0,0.0
Drought in Zambia,"Drought,Food Security",ZMB002,Zambia,ZMB,752618,21437000,15523000,106000,0,23378,740,0,0,#N/A,x,5914000,5723000,9762000,38000,0,3,x,x,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
Complex crisis in Zimbabwe,"Socio-political,Drought,Food Security",ZWE001,Zimbabwe,ZWE,386850,16698000,16698000,23000,0,34550,719,x,x,#N/A,x,0,9098000,7600000,x,x,4,x,x,2.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,3.0
