,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Crisis,Crisis ID,Trend,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01,2020-11-01,2020-12-01
Libya,Complex crisis in Libya,LBY001,Stable,-,3.9,3.7,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,4.2,4.2,4.2,4.2,4.2,4.1,,,
Libya,Mixed migration flows in Libya,LBY002,Decreasing,-,3.2,3.2,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.6,3.1,3.1,3,3,3,3,,,
Madagascar,Complex situation in Madagascar,MDG001,-,-,-,-,2.9,2.9,2.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Madagascar,Drought in Madagascar,MDG002,Stable,-,-,-,2.9,2.9,2.9,2.8,2.8,2.6,2.4,2.4,2.4,2.7,2.8,2.7,2.7,2.6,2.6,2.6,2.6,2.6,,,
Madagascar,Measles in Madagascar,MDG003,-,-,-,-,2.4,2.4,#DIV/0!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Madagascar,Floods in Madagascar,MDG004,Stable,-,-,-,-,-,-,-,-,-,-,-,-,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,,,
Madagascar,Complex Country Crisis in Madagascar,MDG005,Increasing,-,-,-,-,-,-,-,-,-,-,-,-,2.5,2.6,2.5,2.5,2.5,2.6,2.6,2.6,2.6,,,
Malawi,N/A,MWI001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Malawi,Complex crisis in Malawi,MWI002,Decreasing,-,-,-,3,3.1,3.1,3.1,2.7,2.6,2.5,2.5,2.5,2.6,2.7,2.7,2.7,2.6,2.7,2.7,2.6,2.6,,,
Malawi,Tropical Cyclone Idai in Malawi,MWI003,-,-,-,-,-,2.7,2.6,2.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Malaysia,N/A,MYS001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Maldives,N/A,MDV001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Mali,Complex crisis in Mali,MLI001,Stable,3.6,3.8,3.8,3.6,3.6,3.6,3.6,3.7,3.7,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,,,
Marshall Islands,N/A,MHL001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Mauritania,Complex situation in Mauritania,MRT001,-,-,2.9,2.9,2.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Mauritania,Refugees from Mali in Mauritania,MRT002,Stable,-,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.2,2.2,2.2,1.5,2.2,2.2,2.2,2.3,2.3,2.3,2.3,2.3,2.2,,,
Mauritania,Food Security in Mauritania,MRT003,Increasing,-,3,3,3,2.7,2.8,2.9,2.9,2.9,2.9,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,3,2.9,,,
Mauritius,N/A,MUS001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Mexico,Multiple crisis in Mexico,MEX001,-,-,-,-,-,-,-,-,-,-,-,x,x,x,x,x,x,x,x,x,x,x,,,
Mexico,Criminal Violence in Mexico,MEX002,-,-,-,-,-,-,-,-,-,-,-,x,x,x,x,x,x,x,x,x,x,x,,,
Mexico,Mixed Migration in Mexico,MEX003,-,-,-,-,-,-,-,-,-,-,-,x,x,x,x,x,x,x,x,x,x,x,,,
Micronesia,N/A,FSM001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Moldova,N/A,MDA001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Mongolia,N/A,MNG001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Montenegro,N/A,MNE001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Morocco,N/A,MAR001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Morocco,Mixed migration flows in Morocco,MAR002,-,-,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
Mozambique,Complex crisis in Mozambique,MOZ001,Decreasing,-,-,-,3.8,3.7,3.7,3.2,3.2,3,3.2,3.5,3.5,3.5,3.5,3.2,3.2,3.2,3.2,3,3,3.2,,,
Mozambique,Drought in Mozambique,MOZ002,-,-,3.3,3.3,3.3,3.3,3.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Mozambique,Tropical Cyclone Idai in Mozambique,MOZ003,-,-,-,3.4,3.4,3.4,3.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Mozambique,Cabo Delgado Islamist Insurgency,MOZ004,Increasing,-,-,x,x,x,x,x,x,x,x,x,x,x,2.2,2,2,2.5,2.6,2.8,2.9,2.9,,,
Mozambique,Tropical Cyclone Kenneth in Mozambique,MOZ005,-,-,-,-,2.7,2.8,2.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Mozambique,Food Security Crisis in Mozambique,MOZ006,Decreasing,-,-,-,-,-,-,-,-,-,-,-,-,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.3,2.8,,,
Myanmar,Multiple crises in Myanmar,MMR001,Decreasing,-,3.2,3.2,3.2,3.3,3.3,3.3,3.3,3.3,3.4,3.4,3.4,3.4,3.4,3.6,3.6,3.6,3.6,3.6,3.5,3.5,,,
Myanmar,Rakhine Conflict,MMR002,Stable,-,3.3,3.3,3.1,3.2,3.2,3.2,3.2,3.2,3.5,3.5,3.4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,,,
Myanmar,Kachin and Shan Conflict,MMR003,Stable,-,2.6,2.6,2.3,2.4,2.3,2.3,2.3,2.3,2.7,2.7,2.7,2.7,2.7,2.6,2.6,2.6,2.6,2.6,2.6,2.6,,,
Namibia,N/A,NAM001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Namibia,Food Security Crisis in Namibia,NAM002,Stable,-,-,-,-,-,-,-,-,-,-,-,-,2.2,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2,,,
Nepal,N/A,NPL001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Nepal,Floods in Nepal,NPL002,-,-,-,-,-,-,-,1.6,1.6,1.6,-,-,-,-,-,-,-,-,-,-,-,-,,,
Nepal,Floods in Nepal,NPL003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Nicaragua,Socioeconomic crisis in Nicaragua,NIC001,-,2.5,2.6,2.6,2.4,2.4,2.4,2.4,2.4,2.4,x,x,x,x,x,x,x,x,x,x,x,x,,,
Niger,Multiple crises in Niger,NER001,Increasing,-,3.1,3.2,3.5,3.5,3.5,3.5,3.5,3.5,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.7,3.7,3.7,,,
Niger,Boko Haram in Niger,NER002,Increasing,-,3.1,3.2,3.2,3.2,3.3,3.3,3.3,3.3,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.5,3.5,3.4,,,
Niger,Mali/Burkina Faso conflict,NER003,Stable,-,2.4,2.6,3,3,3,3,3,3,3.1,3.1,3.1,3.1,3.1,3.2,3.2,3.2,3.2,3.3,3.2,3.2,,,
Niger,Nigerian Refugees,NER004,Stable,-,-,-,-,-,-,-,-,-,-,-,2.5,2.6,2.6,2.5,2.5,2.5,2.7,2.6,2.6,2.5,,,
Niger,Floods in Niger,NER005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.9,,,
Nigeria,Complex crisis in Nigeria,NGA001,Stable,3.5,3.5,4,4.1,3.8,3.8,4.1,4.1,4.1,4.1,4.1,4.1,4,3.4,3.7,4.2,4.2,4.2,4.2,4.2,4.2,,,
Nigeria,Food insecurity in Nigeria,NGA002,-,3.6,3.6,3.5,3.6,3.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Nigeria,Middle belt conflict,NGA003,-,2.1,2,2.7,2.8,2.8,2.8,2.8,2.8,2.8,x,x,x,x,x,x,x,x,x,x,x,x,,,
Nigeria,Boko Haram crisis in Nigeria,NGA004,Stable,4,4,4,4.1,4.1,4.1,4.2,4.1,4.1,4.1,4.1,4.1,4,3.7,4,4,4.1,4.1,4.1,4.1,4.1,,,
Nigeria,Cameroon Refugees in Nigeria,NGA005,-,1.5,1.5,1.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Nigeria,Floods in Nigeria,NGA006,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Nigeria,Northwest Banditry,NGA007,Stable,-,-,-,-,-,-,-,-,-,-,-,x,x,2.6,2.5,2.5,2.6,2.6,2.6,2.5,2.6,,,
Nigeria,Cameroonian Refugees in Nigeria,NGA008,Stable,-,-,-,-,-,-,-,-,-,-,-,-,2.4,2.5,2.4,2.5,2.5,2.5,2.5,2.5,2.4,,,
"Nigeria, Niger, Chad, Cameroon",Regional Boko Haram Crisis,REG001,Decreasing,-,-,4.2,4.2,4.2,4.2,-,4.2,4.2,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.1,4.1,4.1,4.1,4.1,,,
North Macedonia,N/A,NMK001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Oman,N/A,OMN001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Pakistan,Complex crisis in Pakistan,PAK001,Stable,-,4.1,4.1,3.3,3.3,3.3,3.3,3.3,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,,,
Pakistan,Drought in Pakistan,PAK002,-,-,3.4,3.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Pakistan,Conflict in Pakistan,PAK003,-,-,4.1,4.1,3.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Pakistan,Kashmir conflict in Pakistan,PAK004,-,-,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
Palau,N/A,PLW001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Palestine,N/A,PSE001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Palestine,Conflict in Palestine,PSE002,Stable,-,-,-,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.7,3.7,3.9,3.9,,,
"Palestine, Lebanon, Jordan",Palestinian Regional Crisis,REG009,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Panama,N/A,PAN001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Panama,Venezuela displacement in Panama,PAN002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Papua New Guinea,N/A,PNG001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Papua New Guinea,Complex crisis in PNG,PNG002,-,-,x,x,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,,,
Papua New Guinea,Floods in Papua New Guinea,PNG003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Paraguay,N/A,PRY001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Peru,N/A,PER001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Peru,Venezuela displacement in Peru,PER002,Stable,-,1.5,1.5,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.3,2.3,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,,,
Philippines,Multiple crises in the Philippines,PHL001,Stable,-,-,-,-,-,-,-,-,-,-,-,2.7,3.4,3.4,2.7,2.4,2.5,2.5,2.5,2.5,2.4,,,
Philippines,Flooding in Davao Oriental,PHL002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Philippines,Mindanao conflict,PHL003,Stable,-,-,1.1,1.8,2,1.8,2.2,2.2,2.1,2.1,2.2,2.2,2.4,2.4,2.4,2.2,2.2,2.2,2.2,2.2,2.2,,,
Philippines,Mindanao Earthquake,PHL004,Decreasing,-,-,-,-,-,-,-,-,-,-,-,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2,1.8,,,
Philippines,Typhoon Tisoy,PHL005,-,-,-,-,-,-,-,-,-,-,-,-,1.8,1.7,1.7,-,-,-,-,-,-,-,,,
Philippines,Typhoon Phanfone,PHL006,-,-,-,-,-,-,-,-,-,-,-,-,-,3.1,3.1,2.1,-,-,-,-,-,-,,,
Philippines,Taal Volcano in Philippines,PHL007,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1.5,-,-,-,-,-,-,,,
Philippines,Typhoon Ambo Philippines,PHL008,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,x,x,x,x,-,,,
Qatar,N/A,QAT001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Romania,N/A,ROU001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Rwanda,N/A,RWA001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Rwanda,Burundi and DRC refugees in Rwanda,RWA002,Stable,-,1.4,1.4,1.6,1.6,1.6,1.6,1.6,1.6,2.3,2.3,2.3,2.3,2.2,2,2,1.9,1.9,1.9,2,1.9,,,
Saint Lucia,N/A,LCA001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Samoa,N/A,WSM001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Sao Tome and Principe,N/A,STP001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Saudi Arabia,N/A,SAU001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Senegal,N/A,SEN001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Senegal,Drought in Senegal,SEN002,Decreasing,-,-,-,2.5,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.4,2.4,2.4,2.4,,,
Serbia,N/A,SRB001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Seychelles,N/A,SYC001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Sierra Leone,N/A,SLE001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Solomon Islands,N/A,SLB001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Somalia,Complex crisis in Somalia,SOM001,Stable,-,-,-,4.1,4.3,4.3,4.3,4.3,4.3,4.2,4.2,4.2,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.6,,,
Somalia,Mixed Migration Flows in Somalia,SOM002,Stable,-,-,-,2.1,2.1,2.1,2.1,2.1,2.1,2,2,2,2,2,2,2,2,2,2,2,1.9,,,
Somalia,Floods in Somalia,SOM003,-,-,-,-,-,-,-,-,-,-,-,3.2,3.1,3.1,3.1,3.1,-,-,-,-,-,-,,,
Somalia,Floods in Somalia,SOM004,Increasing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.4,2.4,2.4,3.3,3.1,3,,,
South Africa,N/A,ZAF001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
South Sudan,Complex crisis in South Sudan,SSD001,Increasing,-,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.4,4.4,4.4,,,
South Sudan,Floods in South Sudan,SSD002,-,-,-,-,-,-,-,-,-,-,-,3.1,3.1,3.1,3.1,3.1,-,-,-,-,-,-,,,
Spain,N/A,ESP001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Spain,Mixed migration flows in Spain,ESP002,-,-,1.2,1.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Sri Lanka,N/A,LKA001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
St. Kitts and Nevis,N/A,KNA001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
St. Vincent and the Grenadines,N/A,VCT001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Sudan,Complex crisis in Sudan,SDN001,Stable,-,3.9,3.9,4,3.9,4,4,4,4,4.1,4.1,4.1,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,,,
Sudan,Conflict and food security in Sudan,SDN002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Sudan,Eritrean refugees in Sudan,SDN003,-,-,2.1,2.1,2.7,2.7,2.7,2.8,2.7,2.7,2.7,2.7,2.7,-,-,-,-,-,-,-,-,-,,,
Sudan,South Sudanese refugees in Sudan,SDN004,-,-,2.6,2.6,3.5,3.5,3.5,3.5,3.4,3.4,3.4,3.4,3.4,-,-,-,-,-,-,-,-,-,,,
Sudan,Refugees in Sudan,SDN005,Stable,-,-,-,-,-,-,-,-,-,-,-,-,3.7,3.7,3.8,3.8,3.8,3.8,3.8,3.8,3.8,,,
Sudan,Floods in Sudan ,SDN006,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.5,2.6,,,
Suriname,N/A,SUR001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Syria,Syrian conflict,SYR001,Stable,4.9,4.9,4.8,4.8,4.8,4.9,4.9,4.9,4.9,4.8,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,,,
"Syria, Turkey, Iraq, Egypt, Jordan, Lebanon",Syrian Regional Crisis,REG004,Stable,-,-,-,-,4.1,4.2,-,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,,,
Tajikistan,N/A,TJK001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Tanzania,N/A,TZA001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Tanzania,International Displacement in Tanzania,TZA002,Increasing,-,-,-,2.2,2.2,2.1,1.8,1.8,1.9,1.8,1.8,1.8,1.8,1.9,1.8,1.8,1.8,1.8,1.8,2.5,1.7,,,
Thailand,Multiple situations in Thailand,THA001,Stable,-,x,x,x,x,x,x,x,x,x,x,x,2.8,2.8,2.1,2.1,2.1,2.1,2.1,2.1,2.1,,,
Thailand,Conflict in southern Thailand ,THA002,-,-,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
Thailand,Myanmar refugees in Thailand,THA003,Stable,-,1.2,1.2,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.2,,,
Timor Leste,N/A,TLS001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Togo,N/A,TGO001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Tokelau,N/A,TKL001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Tonga,N/A,TON001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Trinidad and Tobago,N/A,TTO001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Trinidad and Tobago,Venezuelan refugees in Trinidad and Tobago,TTO002,Stable,-,0.9,0.9,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.7,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,,,
Tunisia,N/A,TUN001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Tunisia,Mixed migration flows in Tunisia,TUN002,-,-,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
Turkey,Complex situation in Turkey,TUR001,Stable,-,-,-,3.6,3.6,3.6,3.5,3.5,3.5,3.5,3.5,3.5,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,,,
Turkey,Syrian Refugees in Turkey,TUR002,Stable,-,-,-,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.2,3.2,3.2,3.2,,,
Turkey,Mixed Migration Flows in Turkey,TUR003,Stable,-,-,-,3.3,3.3,3.3,3.2,3.3,3.3,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,,,
Turkey,Kurdish Conflict,TUR004,-,-,-,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
"Turkey, Greece",Eastern Mediterranean Route ,REG006,-,-,-,-,-,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
Turkmenistan,N/A,TKM001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Tuvalu,N/A,TUV001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Uganda,Multiple crises in Uganda,UGA001,Stable,-,2.9,2.9,3.1,3.1,3,2.9,2.9,2.9,2.9,-,-,-,-,-,-,2.9,2.9,2.9,2.9,2.9,,,
Uganda,South Sudanese refugees in Uganda,UGA002,-,-,2.8,2.8,2.6,2.6,2.5,2.5,2.5,2.5,2.5,-,-,-,-,-,-,-,-,-,-,-,,,
Uganda,DRC refugees in Uganda,UGA003,-,-,2.3,2.3,2.4,2.4,2.3,2.3,2.3,1.6,1.6,-,-,-,-,-,-,-,-,-,-,-,,,
Uganda,Drought in Uganda,UGA004,-,-,2,2.2,2.4,2.4,2.3,2.3,2.3,2.3,2.3,-,-,-,-,-,-,-,-,-,-,-,,,
Uganda,International Displacement in Uganda,UGA005,Stable,-,-,-,-,-,-,-,-,-,-,3,2.8,3,3,3,3,2.9,2.9,2.9,2.9,2.9,,,
Uganda,Floods and Landslides in Uganda,UGA006,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,x,x,x,x,x,,,
Ukraine,N/A,UKR001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Ukraine,Conflict in Ukraine,UKR002,Stable,-,3.3,3.3,3.6,3.6,3.6,3.6,3.6,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,,,
Uruguay,N/A,URY001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Uzbekistan,N/A,UZB001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Vanuatu,N/A,VUT001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Vanuatu,Cyclone Harold in Vanuatu,VUT002,Stable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.9,2,2,2,2,2,,,
Venezuela,Complex crisis in Venezuela,VEN001,Stable,4.2,4.2,4.2,3.9,3.9,4,4,4,4,4,4,4,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,,,
"Venezuela, Brazil, Colombia, Ecuador, Peru, Trinidad and Tobago",Venezuela Regional Crisis,REG002,Stable,-,-,-,3.7,3.7,3.7,-,3.7,3.7,3.6,3.6,3.6,3.5,3.5,3.6,3.6,3.6,3.6,3.6,3.6,3.6,,,
Vietnam,N/A,VNM001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Western Sahara,N/A,ESH001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Yemen,Conflict in Yemen,YEM001,Stable,-,-,-,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.6,,,
Yemen,Mixed migration flows in Yemen,YEM002,Decreasing,-,-,-,3,3,3,3,2.9,2.9,3,3,3,3,2.9,2.9,2.9,3.1,2.9,2.9,2.9,2.9,,,
Zambia,N/A,ZMB001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Zambia,Drought in Zambia,ZMB002,Increasing,-,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.9,2.7,2.7,2.7,2.8,2.8,2.8,2.8,,,
Zimbabwe,Complex crisis in Zimbabwe,ZWE001,Stable,-,3.6,3.8,3.9,3.9,3.9,3.9,3.9,3.7,3.7,3.7,3.7,3.9,3.7,3.9,3.7,3.7,3.7,3.7,3.7,3.7,,,
Zimbabwe,Tropical Cyclone Idai in Zimbabwe,ZWE002,-,-,-,2.7,3.2,3.2,3.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Zimbabwe,Malaria Outbreak in Zimbabwe,ZWE003,Stable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.6,2.6,2.6,2.6,,,
