Crisis,TYPE OF CRISIS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
Complex crisis in DPRK,Complex crisis,PRK001,DPRK,PRK,120410,25666000,25666000,34000,x,x,23,x,x,#N/A,x,0,15120000,4970000,5459000,0,1,x,x,1.0,2.0,2.0,0.0,3.0,3.0,0.0,0.0,3.0
Conflict in Palestine,Conflict,PSE002,Palestine,PSE,6025,5355000,4712000,6401000,3404,x,28,160000,11422,#N/A,x,643000,2356000,2035000,321000,0,4,x,4950000,2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0,3.0
Regional Boko Haram Crisis,Regional crisis,REG001,"Nigeria,Niger,Chad,Cameroon","NGA,NER,TCD,CMR",369002,19217000,13183000,5158000,x,x,1833,0,4300,#N/A,5200000,6035000,4223000,4636000,4201000,122000,5,x,800000,1.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0
Venezuela Regional Crisis,Regional crisis,REG002,"Venezuela,Brazil,Colombia,Ecuador,Peru,Trinidad and Tobago,Chile,Dominican Republic,Panama","VEN,BRA,COL,ECU,PER,TTO,CHL,DOM,PAN",1600014,91641000,37585000,10683000,x,x,82332,0,0,#N/A,x,54056000,15092000,22493000,0,0,4,x,x,2.0,2.0,1.0,0.0,2.0,2.0,3.0,2.0,3.0
Regional Kashmir conflict,Regional crisis,REG003,"India,Pakistan","IND,PAK",235533,16991000,16991000,x,x,x,193,x,x,#N/A,x,x,x,x,x,x,3,x,x,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0
Syrian Regional Crisis,Regional crisis,REG004,"Syria,Turkey,Iraq,Egypt,Jordan,Lebanon","SYR,TUR,IRQ,EGY,JOR,LBN",499836,102344000,45306000,30236000,x,x,2446,x,x,#N/A,x,57041000,23229000,15632000,6318000,127000,5,#N/A,x,1.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0
Eastern Mediterranean Route ,Regional crisis,REG006,"Turkey,Greece","TUR,GRC",180868,38037000,12648000,4148000,x,x,36,x,x,#N/A,x,25389000,10254000,1662000,732000,0,2,x,x,1.0,0.0,2.0,0.0,2.0,2.0,0.0,3.0,0.0
Central Mediterranean Route,Regional crisis,REG007,"Algeria,Tunisia,Libya,Italy","DZA,TUN,LBY,ITA",x,x,x,x,x,x,604,x,x,#N/A,x,x,x,x,x,x,2,x,x,1.0,3.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0
Western Mediterranean Route,Regional crisis,REG008,"Algeria,Morocco,Spain","DZA,MAR,ESP",x,x,x,x,x,x,161,x,x,#N/A,x,x,x,x,x,x,2,x,x,1.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0
Rohingya Regional Crisis,Regional crisis,REG011,"Bangladesh,Myanmar","BGD,MMR",45507,5324000,3024000,1263000,x,x,46,x,x,#N/A,x,2300000,0,1471000,1553000,0,4,x,x,2.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0
Southern Africa Regional Food Security Crisis,Regional crisis,REG012,"Lesotho,Madagascar,Malawi,Namibia,Eswatini,Zambia,Zimbabwe,Tanzania","LSO,MDG,MWI,NAM,SWZ,ZMB,ZWE,TZA",2342476,60615000,30880000,235000,0,0,85,0,0,#N/A,0,29735000,16761000,12705000,1414000,0,4,#N/A,#N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
Nagorno-Karabakh Conflict,Regional crisis,REG013,"Armenia,Azerbaijan","ARM,AZE",35959,4452000,2860000,91000,x,x,13,x,x,#N/A,x,1593000,2833000,27000,0,0,2,x,x,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Eastern Africa Regional Drought Crisis,Regional crisis,REG014,"Ethiopia,Somalia,Kenya","ETH,SOM,KEN",1764770,95081000,37823000,846000,x,x,0,x,x,#N/A,x,57258000,30048000,6591000,1184000,0,5,x,x,1.0,2.0,1.0,2.0,0.0,2.0,3.0,3.0,3.0
Displacement from Ukraine conflict in Romania,International displacement,ROU002,Romania,ROU,62918,5939000,890000,890000,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,5049000,0,890000,0,0,2,#N/A,#N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burundi and DRC refugees in Rwanda,International displacement,RWA002,Rwanda,RWA,20524,2369000,127000,127000,x,x,x,0,0,#N/A,0,2242000,0,127000,0,0,2,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
Complex crisis in Sudan,Multiple crises country,SDN001,Sudan,SDN,1840687,48000000,30100000,4887000,x,x,945,x,x,#N/A,x,17900000,15800000,6200000,6200000,1900000,5,x,x,2.0,2.0,3.0,3.0,2.0,1.0,3.0,1.0,2.0
Refugees in Sudan,International displacement,SDN005,Sudan,SDN,89263,13007000,13007000,1142000,x,x,22,x,x,#N/A,x,0,11865000,1142000,0,0,2,#N/A,#N/A,2.0,2.0,2.0,3.0,0.0,1.0,3.0,1.0,2.0
Violence in Darfur and Kordofan regions,Other type of violence,SDN008,Sudan,SDN,880145,17144000,13765000,117000,0,0,669,55,0,#N/A,0,3379000,5725000,2980000,4160000,900000,2,0,0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0
Drought in Senegal,Drought,SEN002,Senegal,SEN,3632747,17739000,3188000,x,0,0,0,0,0,#N/A,x,14106000,3084000,548000,1000,0,2,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Complex crisis in El Salvador,Complex crisis,SLV001,El Salvador,SLV,20720,6700000,3200000,131000,x,1269,371,x,x,#N/A,977450,3500000,1500000,1700000,0,0,3,x,x,0.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0
Complex crisis in Somalia,Complex crisis,SOM001,Somalia,SOM,627340,15755000,15736000,3785000,x,1400000,1799,x,x,#N/A,x,19000,8000000,5915000,1740000,81000,5,x,x,1.0,3.0,3.0,1.0,2.0,2.0,3.0,1.0,3.0
Mixed Migration Flows in Somalia,International displacement,SOM002,Somalia,SOM,28836,1322000,25000,25000,x,x,2,0,0,#N/A,0,1296000,0,0,25000,0,1,x,x,1.0,3.0,3.0,1.0,0.0,2.0,3.0,1.0,3.0
Complex crisis in South Sudan,Complex crisis,SSD001,South Sudan,SSD,644000,12400000,12400000,4367000,x,600000,849,x,x,#N/A,14369,0,3500000,6497000,1424000,979000,5,x,1500000,2.0,2.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0
Displacement from Ukraine conflict in Slovakia,International displacement,SVK002,Slovakia,SVK,15700,2198000,628000,628000,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,1571000,0,628000,0,0,2,#N/A,#N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Food Security Crisis in Eswatini,Food Security,SWZ001,Eswatini,SWZ,17364,1175000,615000,0,0,0,0,#N/A,#N/A,#N/A,#N/A,560000,432000,169000,14000,0,1,#N/A,#N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Syrian conflict,Complex crisis,SYR001,Syria,SYR,185180,21700000,21700000,22974000,x,x,2446,x,x,#N/A,x,0,7140000,9600000,4900000,60000,5,x,1160000,1.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0
Complex crisis in Chad,Multiple crises country,TCD001,Chad,TCD,1259200,16797000,7607000,1043000,x,x,196,x,x,#N/A,x,9175000,1207000,715000,1910000,3525000,5,x,x,1.0,3.0,2.0,0.0,0.0,3.0,3.0,2.0,2.0
Boko Haram in Chad,Conflict,TCD003,Chad,TCD,19915,1104000,827000,422000,x,x,120,x,x,#N/A,x,277000,0,0,0,827000,5,x,x,1.0,2.0,2.0,0.0,0.0,3.0,3.0,2.0,2.0
CAR refugees in Chad,International displacement,TCD004,Chad,TCD,154623,4456000,1004000,123000,x,x,196,x,0,#N/A,x,1939000,0,743000,261000,0,3,x,x,1.0,2.0,1.0,0.0,0.0,3.0,3.0,0.0,2.0
Darfur refugees in Chad,International displacement,TCD005,Chad,TCD,205671,2448000,1281000,393000,x,x,196,x,0,#N/A,x,1167000,0,694000,631000,650000,2,x,x,1.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0
Tibesti Conflict in Chad,Conflict,TCD006,Chad,TCD,220000,38000,38000,x,x,x,196,x,x,#N/A,x,0,20000,11000,6000,1000,3,x,x,1.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0
Multiple situations in Thailand,Multiple crises country,THA001,Thailand,THA,30342,3800000,91000,91000,x,x,15,x,x,#N/A,x,3709000,0,91000,0,0,2,x,x,1.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,2.0
Conflict in southern Thailand ,Conflict,THA002,Thailand,THA,18330,3458000,x,x,x,x,15,x,x,#N/A,x,3458000,x,x,x,x,1,x,x,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0
Myanmar refugees in Thailand,International displacement,THA003,Thailand,THA,12012,343000,91000,91000,0,x,x,x,x,#N/A,x,252000,0,91000,0,0,1,x,x,1.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0
Tonga Volcano Eruption,Volcano,TON002,Tonga,TON,720,105000,85000,2000,x,x,3,2935,50,#N/A,x,20000,82000,2000,0,0,1,x,x,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Venezuelan refugees in Trinidad and Tobago,International displacement,TTO002,Trinidad and Tobago,TTO,5130,1403000,212000,34000,x,x,20,x,x,#N/A,x,1191000,177000,35000,0,0,3,x,x,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
Mixed migration flows in Tunisia,International displacement,TUN002,Tunisia,TUN,163610,12000000,12000,12000,x,x,875,0,0,#N/A,x,11988000,0,12000,0,0,4,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Complex situation in Turkey,Multiple crises country,TUR001,Turkey,TUR,378923,50600000,12481000,3981000,x,x,97,x,x,#N/A,x,46618000,1607000,1643000,732000,0,4,x,x,1.0,1.0,1.0,0.0,2.0,2.0,0.0,3.0,1.0
Syrian Refugees in Turkey,International displacement,TUR002,Turkey,TUR,132028,36158000,12151000,3651000,x,x,x,0,0,#N/A,x,24006000,10107000,1643000,402000,0,2,x,x,1.0,0.0,1.0,0.0,2.0,2.0,0.0,3.0,1.0
Mixed Migration Flows in Turkey,International displacement,TUR003,Turkey,TUR,177504,37626000,12481000,3981000,x,x,8,0,0,#N/A,x,25144000,10107000,1643000,732000,0,2,x,x,1.0,0.0,1.0,0.0,2.0,2.0,0.0,3.0,0.0
Kurdish Conflict,Conflict,TUR004,Turkey,TUR,195587,12974000,x,x,x,x,97,x,x,#N/A,x,x,x,x,x,x,3,x,x,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Multiple Crises in Tanzania,Multiple crises country,TZA001,Tanzania,TZA,144996,14911000,12914000,249000,x,x,21,x,x,#N/A,x,1997000,12073000,746000,95000,0,x,x,x,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0
International Displacement in Tanzania,International displacement,TZA002,Tanzania,TZA,72234,11393000,11393000,249000,0,x,1,x,x,#N/A,x,0,11144000,249000,0,0,2,x,x,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0
Food Security Crisis in North-East Tanzania,Food Security,TZA003,Tanzania,TZA,83058,3518000,1521000,x,x,x,0,x,x,#N/A,x,1997000,929000,497000,95000,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multiple crises in Uganda,Multiple crises country,UGA001,Uganda,UGA,54111,8685000,2775000,1529000,x,101063,2465,x,x,#N/A,x,5910000,728000,1957000,90000,0,2,x,x,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0
International Displacement in Uganda,International displacement,UGA005,Uganda,UGA,26513,7440000,1529000,1529000,x,x,x,x,x,#N/A,x,5910000,0,1529000,0,0,2,#N/A,#N/A,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0
Food Security Crisis in Karamoja Region,Food Security,UGA007,Uganda,UGA,27598,1246000,1246000,x,x,101063,2465,x,x,#N/A,x,0,728000,428000,90000,0,1,x,x,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
Conflict in Ukraine,Conflict,UKR002,Ukraine,UKR,603628,54157000,54157000,16807000,x,x,5237,x,x,#N/A,x,0,38457000,2300000,13400000,0,2,x,x,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
Complex crisis in Venezuela,Complex crisis,VEN001,Venezuela,VEN,882050,28400000,18739000,6133000,x,x,42,x,x,#N/A,x,9661000,222000,18517000,0,0,5,x,x,2.0,2.0,2.0,0.0,2.0,3.0,3.0,0.0,3.0
Conflict in Yemen,Complex crisis,YEM001,Yemen,YEM,527970,29826000,29826000,5666000,1037,35674,448,x,x,#N/A,x,0,6426000,14040000,5382000,3978000,4,x,x,1.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0
Mixed migration flows in Yemen,International displacement,YEM002,Yemen,YEM,527970,3707000,294000,294000,1037,35674,448,x,x,#N/A,x,3413000,0,132000,132000,29000,2,x,x,1.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0
Drought in Zambia,Drought,ZMB002,Zambia,ZMB,752618,12181000,6760000,0,0,0,0,0,0,#N/A,x,5421000,5185000,1575000,0,0,3,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Complex crisis in Zimbabwe,Complex crisis,ZWE001,Zimbabwe,ZWE,390757,15334000,9706000,42000,0,0,12,x,x,#N/A,x,5628000,2706000,6050000,950000,0,4,x,x,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
