Crisis,TYPE OF CRISIS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
Regional Kashmir conflict,Regional crisis,REG003,"India,Pakistan","IND,PAK",235533,16991000,16991000,x,x,x,1307,x,x,#N/A,x,x,x,x,x,x,3,x,x,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0
Syrian Regional Crisis,Regional crisis,REG004,"Syria,Turkey,Iraq,Egypt,Jordan,Lebanon","SYR,TUR,IRQ,EGY,JOR,LBN",499836,101840000,40728000,23039000,x,x,2714,x,x,#N/A,x,61151000,20829000,13055000,6679000,125000,5,#N/A,x,1.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0
Eastern Mediterranean Route ,Regional crisis,REG006,"Turkey,Greece","TUR,GRC",180868,38040000,12734000,4234000,x,x,23,x,x,#N/A,x,25305000,10294000,1699000,741000,0,2,x,x,1.0,2.0,2.0,0.0,2.0,3.0,1.0,3.0,1.0
Central Mediterranean Route,Regional crisis,REG007,"Algeria,Tunisia,Libya,Italy","DZA,TUN,LBY,ITA",x,x,x,x,x,x,604,x,x,#N/A,x,x,x,x,x,x,2,x,x,1.0,3.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0
Western Mediterranean Route,Regional crisis,REG008,"Algeria,Morocco,Spain","DZA,MAR,ESP",x,x,x,x,x,x,161,x,x,#N/A,x,x,x,x,x,x,2,x,x,2.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0
Rohingya Regional Crisis,Regional crisis,REG011,"Bangladesh,Myanmar","BGD,MMR",45507,5050000,3950000,1381000,x,x,38,x,x,#N/A,x,1100000,1047000,0,2903000,0,4,x,x,2.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0
Southern Africa Regional Food Security Crisis,Regional crisis,REG012,"Lesotho,Madagascar,Malawi,Namibia,Eswatini,Zambia,Zimbabwe,Tanzania","LSO,MDG,MWI,NAM,SWZ,ZMB,ZWE,TZA",2342476,61818000,30394000,1143000,0,0,222,0,0,#N/A,0,31424000,16486000,12407000,1501000,0,3,#N/A,#N/A,2.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0
Nagorno-Karabakh Conflict,Regional crisis,REG013,"Armenia,Azerbaijan","ARM,AZE",59763,5877000,2937000,93000,x,x,138,x,x,#N/A,x,x,x,x,x,x,3,x,x,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0
Eastern Africa Regional Drought Crisis,Regional crisis,REG014,"Ethiopia,Somalia,Kenya","ETH,SOM,KEN",1764770,95081000,37823000,846000,x,x,0,x,x,#N/A,x,57258000,30048000,6591000,1184000,0,5,x,x,2.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0
Displacement from Ukraine conflict in Romania,International displacement,ROU002,Romania,ROU,15700,5135000,85000,85000,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,5049000,85000,0,0,0,2,#N/A,#N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burundi and DRC refugees in Rwanda,International displacement,RWA002,Rwanda,RWA,20524,2369000,127000,127000,x,x,x,0,0,#N/A,0,2242000,0,127000,0,0,2,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Complex crisis in Sudan,Multiple crises country,SDN001,Sudan,SDN,1840687,48000000,30100000,3927000,x,x,1354,x,x,#N/A,x,17900000,15800000,6200000,6200000,1900000,5,x,x,2.0,2.0,1.0,0.0,1.0,2.0,3.0,1.0,3.0
Refugees in Sudan,International displacement,SDN005,Sudan,SDN,89263,13007000,13007000,1058000,x,x,11,x,x,#N/A,x,0,11949000,1058000,0,0,2,#N/A,#N/A,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
Refugees from Ethiopia,International displacement,SDN007,Sudan,SDN,180000,13830000,13830000,73000,x,x,0,x,x,#N/A,x,0,13757000,73000,0,0,2,x,x,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
Violence West-Darfur,Other type of violence,SDN008,Sudan,SDN,79460,1892000,1892000,350000,0,0,430,55,0,#N/A,0,0,962000,130000,720000,80000,2,0,0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,3.0
Drought in Senegal,Drought,SEN002,Senegal,SEN,192530,16709000,3188000,x,0,0,0,0,0,#N/A,x,13521000,2676000,498000,13000,0,4,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Complex crisis in El Salvador,Complex crisis,SLV001,El Salvador,SLV,20700,6700000,3200000,13000,x,x,936,x,x,#N/A,x,3500000,1500000,1400000,300000,0,3,x,x,0.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0
Complex crisis in Somalia,Complex crisis,SOM001,Somalia,SOM,627340,15755000,15736000,3732000,x,x,1457,x,x,#N/A,x,19000,8000000,7700000,36000,0,5,x,x,0.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0
Mixed Migration Flows in Somalia,International displacement,SOM002,Somalia,SOM,28836,1322000,25000,25000,x,x,2,0,0,#N/A,0,1296000,0,0,25000,0,1,x,x,0.0,3.0,3.0,1.0,2.0,3.0,2.0,1.0,2.0
Drought in Somalia,Drought,SOM005,Somalia,SOM,627340,15755000,15755000,671000,0,0,0,0,0,#N/A,0,0,11255000,3816000,684000,0,5,#N/A,#N/A,0.0,3.0,3.0,3.0,0.0,2.0,3.0,1.0,2.0
Complex crisis in South Sudan,Complex crisis,SSD001,South Sudan,SSD,644000,12400000,12400000,4367000,x,600000,849,x,x,#N/A,14369,0,3500000,6497000,1424000,979000,5,x,1500000,1.0,3.0,2.0,3.0,0.0,2.0,3.0,3.0,3.0
Displacement from Ukraine conflict in Slovakia,International displacement,SVK002,Slovakia,SVK,15700,1836000,265000,265000,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,1544000,265000,0,0,0,2,#N/A,#N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Food Security Crisis in Eswatini,Food Security,SWZ001,Eswatini,SWZ,17364,1172000,712000,0,0,0,0,#N/A,#N/A,#N/A,#N/A,460000,376000,286000,50000,0,1,#N/A,#N/A,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0
Syrian conflict,Complex crisis,SYR001,Syria,SYR,185180,21700000,21700000,15698000,x,x,2714,x,x,#N/A,x,40000,7100000,9600000,4900000,60000,5,x,1160000,1.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0
Complex crisis in Chad,Multiple crises country,TCD001,Chad,TCD,1259200,16797000,7607000,1043000,x,x,145,x,x,#N/A,x,9175000,1207000,4736000,1472000,192000,5,x,x,1.0,3.0,1.0,0.0,0.0,2.0,3.0,2.0,3.0
Boko Haram in Chad,Conflict,TCD003,Chad,TCD,19915,686000,686000,413000,x,x,71,x,x,#N/A,x,0,318000,98000,147000,122000,5,x,x,1.0,3.0,1.0,0.0,0.0,2.0,3.0,0.0,3.0
CAR refugees in Chad,International displacement,TCD004,Chad,TCD,154623,4456000,1004000,173000,x,x,x,x,0,#N/A,x,3452000,0,743000,261000,0,3,x,x,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0
Darfur refugees in Chad,International displacement,TCD005,Chad,TCD,205671,2577000,1123000,371000,x,x,25,x,0,#N/A,x,1454000,0,694000,429000,0,2,x,x,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0
Tibesti Conflict in Chad,Conflict,TCD006,Chad,TCD,220000,38000,38000,x,x,x,4,x,x,#N/A,x,0,20000,11000,6000,1000,3,x,x,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0
Multiple situations in Thailand,Multiple crises country,THA001,Thailand,THA,30342,3549000,91000,91000,x,x,25,x,x,#N/A,x,3458000,0,91000,0,0,2,x,x,0.0,1.0,1.0,0.0,2.0,2.0,1.0,3.0,1.0
Conflict in southern Thailand ,Conflict,THA002,Thailand,THA,18330,3458000,x,x,x,x,25,x,x,#N/A,x,x,x,x,x,x,1,x,x,0.0,1.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0
Myanmar refugees in Thailand,International displacement,THA003,Thailand,THA,9,91000,91000,91000,0,x,x,x,x,#N/A,x,0,0,91000,0,0,1,x,x,1.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0
Tonga Volcano Eruption,Volcano,TON002,Tonga,TON,720,105000,85000,2000,x,x,3,2935,50,#N/A,x,20000,82000,2000,0,0,1,x,x,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
Venezuelan refugees in Trinidad and Tobago,International displacement,TTO002,Trinidad and Tobago,TTO,5130,1407000,39000,34000,x,x,60,0,0,#N/A,0,1368000,3000,35000,0,0,2,x,0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0
Mixed migration flows in Tunisia,International displacement,TUN002,Tunisia,TUN,155360,11718000,x,x,x,x,849,0,0,#N/A,x,x,x,x,x,x,1,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Complex situation in Turkey,Multiple crises country,TUR001,Turkey,TUR,378923,50600000,12566000,4066000,x,x,182,x,x,#N/A,x,38034000,10144000,1681000,741000,0,4,x,x,1.0,1.0,1.0,0.0,2.0,3.0,0.0,3.0,1.0
Syrian Refugees in Turkey,International displacement,TUR002,Turkey,TUR,132028,36158000,12236000,3736000,x,x,0,0,0,#N/A,x,23922000,10144000,1681000,411000,0,2,x,x,1.0,0.0,1.0,0.0,2.0,3.0,0.0,3.0,1.0
Mixed Migration Flows in Turkey,International displacement,TUR003,Turkey,TUR,177504,37626000,12566000,4066000,x,x,15,0,0,#N/A,x,25060000,10144000,1681000,741000,0,2,x,x,1.0,0.0,1.0,0.0,2.0,3.0,0.0,3.0,1.0
Kurdish Conflict,Conflict,TUR004,Turkey,TUR,195587,12974000,x,x,x,x,167,x,x,#N/A,x,x,x,x,x,x,3,x,x,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0
Multiple Crises in Tanzania,Multiple crises country,TZA001,Tanzania,TZA,144996,14797000,12615000,248000,x,x,1,x,x,#N/A,x,2182000,11930000,663000,22000,0,x,x,x,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Displacement in Tanzania,International displacement,TZA002,Tanzania,TZA,72234,11393000,11393000,248000,0,x,1,x,x,#N/A,x,0,11145000,248000,0,0,2,x,x,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Food Security Crisis in North-East Tanzania,Food Security,TZA003,Tanzania,TZA,83058,3404000,1222000,x,x,x,0,x,x,#N/A,x,2182000,785000,415000,22000,0,2,x,x,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Displacement in Uganda,International displacement,UGA005,Uganda,UGA,66662,7651000,1583000,1583000,x,x,x,x,x,#N/A,x,6147000,0,1583000,0,0,2,#N/A,#N/A,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0
Conflict in Ukraine,Conflict,UKR002,Ukraine,UKR,603628,41400000,18000000,4127000,x,x,351,x,x,#N/A,x,23400000,6000000,9100000,900000,2000000,3,x,x,1.0,3.0,2.0,0.0,2.0,2.0,2.0,3.0,1.0
Complex crisis in Venezuela,Complex crisis,VEN001,Venezuela,VEN,882050,27412000,27412000,5443000,x,x,8253,x,x,#N/A,223750,0,12610000,14803000,0,0,2,x,x,3.0,3.0,3.0,1.0,3.0,3.0,3.0,0.0,3.0
Conflict in Yemen,Complex crisis,YEM001,Yemen,YEM,527970,30700000,27100000,4200000,1037,35674,333,x,x,#N/A,x,3600000,6400000,8400000,8900000,3400000,5,x,x,2.0,3.0,3.0,0.0,3.0,3.0,2.0,1.0,3.0
Mixed migration flows in Yemen,International displacement,YEM002,Yemen,YEM,527970,30700000,27100000,4200000,1037,35674,448,x,x,#N/A,x,3600000,6400000,8400000,8900000,3400000,2,x,x,2.0,3.0,3.0,0.0,3.0,3.0,2.0,1.0,3.0
Drought in Zambia,Drought,ZMB002,Zambia,ZMB,752618,12181000,6760000,0,0,0,0,0,0,#N/A,x,5421000,5185000,1575000,0,0,3,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Complex crisis in Zimbabwe,Complex crisis,ZWE001,Zimbabwe,ZWE,390757,15557000,9706000,950000,0,0,34,x,x,#N/A,x,5851000,2706000,6050000,950000,0,3,x,x,2.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0
