,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTRY,ISO3,Physical exposure to earthquake MMI VI,Physical exposure to earthquake MMI VIII,Annual Expected Exposed People to Floods,Annual Expected Exposed People to Tsunamis,Annual Expected Exposed People to Cyclone's Wind SS1,Annual Expected Exposed People to Cyclone's Wind SS3,Annual Expected Exposed People to Cyclone Surge,Total affected by Drought,Frequency of Drought events,Agriculture Drought probability,GCRI Violent Conflict probability,GCRI Highly Violent Conflict probability,National Power Conflict Intensity (Highly Violent),Subnational Conflict Intensity (Highly Violent),Human Development Index,Multidimensional Poverty Index,Humanitarian Aid (FTS),Development Aid (ODA),Development Aid (ODA),Net ODA received (% of GNI),"Mortality rate, under-5",U5 Under weight,Physicians Density,One-year-olds fully immunized against measles,Incidence of Tuberculosis,Estimated number of people living with HIV - Adult (>15) rate,Health expenditure per capita,Maternal Mortality Rate,Malaria death rate,Gender Inequality Index,Income Gini coefficient,People affected by Natural Disasters,People affected by Natural Disasters,People affected by Natural Disasters,Internally displaced persons (IDPs),Refugees by country of asylum,Returned Refugees,Average Dietary Energy Supply Adequacy,Prevalence of Undernourishment,Domestic Food Price Level Index,Domestic Food Price Volatility Index,HFA Scores Last recent,Government Effectiveness,Corruption Perception Index,Access to electricity,Adult liteacy rate,Internet users,Mobile cellular subscriptions,Road lenght,Improved sanitation facilities (% of population with access),Improved water source (% of population with access),GDP per capita PPP int USD (Estimated),Total Population,Total Population (GHS-POP),Land area (sq. km),
Honduras,HND,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2012,2016,2013,2014,2014,2015,2012,x,2014,2014,2014,2014,2015,2012,2014,2013,2014,2015,2016,2015,2015,2015,2014,2014,2014,2014,2011,2014,2015,2012,2014,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Hungary,HUN,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,x,2012,2014,2014,x,2014,2015,x,2014,2012,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,2013,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Iceland,ISL,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,x,2012,2014,2014,x,2014,2015,x,2014,2012,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,x,2014,2015,2012,x,2014,2014,2014,2015,2015,2015,2015,2014,2014,
India,IND,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2006,2016,2013,2014,2014,2015,2006,2012,2014,2014,2013,2014,2015,2012,2014,2011,2014,2015,2016,2015,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,2011,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Indonesia,IDN,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2012,2016,2013,2014,2014,2015,2013,2012,2014,2014,2014,2014,2015,2012,2014,2011,2014,2015,2016,2015,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,2011,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Iran,IRN,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,2014,2015,2004,2010,2014,2014,2014,2014,2015,2012,2014,2013,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2011,2014,2015,2012,2012,2014,2014,2014,2015,2015,2014,2015,2014,2014,
Iraq,IRQ,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2011,2016,2013,2014,2014,2015,2011,2010,2014,2014,x,2014,2015,x,2014,2012,2014,2015,2016,2016,2016,2015,2014,2014,2014,2014,2015,2014,2015,2012,2013,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Ireland,IRL,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,x,2013,2014,2014,2014,2014,2015,x,2014,2012,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,x,2014,2015,2012,x,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Israel,ISR,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,x,2012,2014,2014,x,2014,2015,x,2014,2010,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,x,2014,2015,2012,x,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Italy,ITA,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,x,2012,2014,2014,2013,2014,2015,x,2014,2012,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,2013,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Jamaica,JAM,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2010,2016,2013,2014,2014,2015,2012,2008,2014,2014,2014,2014,2015,x,2014,2004,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2011,2014,2015,2012,2013,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Japan,JPN,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,2010,2010,2014,2014,2011,2014,2015,x,2014,2008,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2011,2014,2015,2012,x,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Jordan,JOR,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2012,2016,2013,2014,2014,2015,2012,2010,2014,2014,x,2014,2015,x,2014,2010,2014,2015,2016,x,2016,2015,2014,2014,2014,2014,2011,2014,2015,2012,2012,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Kazakhstan,KAZ,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2011,2016,2013,2014,2014,2015,2010,2013,2014,2014,2014,2014,2015,x,2014,2013,2014,2015,2016,x,2015,2015,2014,2014,x,x,2011,2014,2015,2012,2009,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Kenya,KEN,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2009,2016,2013,2014,2014,2015,2014,2013,2014,2014,2014,2014,2015,2012,2014,2005,2014,2015,2016,2015,2016,2015,2014,2014,2013,2014,2015,2014,2015,2012,2007,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Kiribati,KIR,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,2014,2015,2009,2010,2014,2014,x,2014,2015,x,x,2006,2014,2015,2016,x,x,2015,2014,2014,x,x,x,2014,x,2012,x,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Korea DPR,PRK,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,x,x,2016,2013,2014,x,2015,2012,x,2014,2014,x,x,2015,2012,x,x,2014,2015,2016,x,x,2015,2014,2014,x,x,x,2014,2015,2012,2008,2014,2014,2014,2015,2015,2014,2015,2014,2014,
Korea Republic of,KOR,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,2010,2012,2014,2014,x,2014,2015,2012,2014,x,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2011,2014,2015,2012,x,2014,2014,2014,2015,2012,2015,2015,2014,2014,
Kuwait,KWT,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,2014,2012,2014,2014,x,2014,2015,x,2014,x,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,x,2014,2015,2012,2013,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Kyrgyzstan,KGZ,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2012,2016,2013,2014,2014,2015,2014,2013,2014,2014,2014,2014,2015,2012,2014,2012,2014,2015,2016,x,2015,2015,2014,2014,x,x,2015,2014,2015,2012,2009,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Lao PDR,LAO,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2012,2016,2013,2014,2014,2015,2011,2012,2014,2014,2014,2014,2015,2012,2013,2012,2014,2015,2016,2015,2015,2015,2014,2014,2012,2013,2015,2014,2015,2012,x,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Latvia,LVA,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,x,2012,2014,2014,x,2014,2015,x,2014,2012,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,x,2014,2015,2012,2011,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Lebanon,LBN,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,2014,2015,2004,2011,2014,2014,2014,2014,2015,x,2014,x,2014,2015,2016,2015,2016,2015,2014,2014,x,x,2015,2014,2015,2012,2007,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Lesotho,LSO,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2009,2016,2013,2014,2014,2015,2014,x,2014,2014,2014,2014,2015,x,2014,2010,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,2009,2014,2014,2014,2015,2015,2014,2015,2014,2014,
Liberia,LBR,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2013,2016,2013,2014,2014,2015,2013,2010,2014,2014,2014,2014,2015,2012,2014,2007,2014,2015,2016,x,2016,2015,2014,2014,x,x,x,2014,2015,2012,2007,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Libya,LBY,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2007,2016,2013,2014,2014,2015,2007,2010,2014,2014,x,2014,2015,x,2014,x,2014,2015,2016,2016,2015,2015,2014,2014,x,x,x,2014,2015,2012,2013,2014,2014,2014,2015,x,2015,2015,2014,2014,
Liechtenstein,LIE,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,x,x,x,x,x,x,x,2015,x,x,x,2014,2015,2016,x,2015,2015,2014,2014,x,x,x,2014,x,2012,x,2014,2014,2014,x,x,No data,2015,2014,2014,
Lithuania,LTU,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,x,2012,2014,2014,x,2014,2015,x,2014,2012,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,x,2014,2015,2012,2011,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Luxembourg,LUX,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,x,2013,2014,2014,x,2014,2015,x,2014,2012,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,x,2014,2015,2012,x,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Madagascar,MDG,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2009,2016,2013,2014,2014,2015,2004,2010,2014,2014,2014,2014,2015,2012,x,2010,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,2009,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Malawi,MWI,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2010,2016,2013,2014,2014,2015,2014,2010,2014,2014,2014,2014,2015,2012,2014,2010,2014,2015,2016,x,2015,2015,2014,2014,2013,2013,2015,2014,2015,2012,2010,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Malaysia,MYS,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,2006,2010,2014,2014,2014,2014,2015,2012,2014,2009,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2011,2014,2015,2012,2010,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Maldives,MDV,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2009,2016,2013,2014,2014,2015,2009,2010,2014,2014,2013,2014,2015,x,2014,2009,2014,2015,2016,x,x,2015,2014,2014,2013,2013,2011,2014,x,2012,2006,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Mali,MLI,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2013,2016,2013,2014,2014,2015,2006,2010,2014,2014,2014,2014,2015,2012,2014,2010,2014,2015,2016,2016,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,2011,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Malta,MLT,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,x,2013,2014,2014,x,2014,2015,x,2014,x,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,x,2014,2015,2012,2011,2014,2014,2014,2015,2015,2013,2015,2014,2014,
Marshall Islands,MHL,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,x,x,2016,2013,2014,2014,2015,2007,2010,2014,2014,x,2014,2015,x,x,x,2014,2015,2016,x,x,2015,2014,2014,x,x,2011,2014,x,2012,x,2014,2014,2014,2015,2015,2014,2015,2014,2014,
Mauritania,MRT,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2011,2016,2013,2014,2014,2015,2012,2010,2014,2014,2014,2014,2015,2012,2014,2008,2014,2015,2016,x,2016,2015,2014,2014,2014,2014,2011,2014,2015,2012,2007,2014,2014,2014,2015,2015,2014,2015,2014,2014,
Mauritius,MUS,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,2014,2015,x,x,2014,2014,2014,2014,2015,x,2014,2012,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,2011,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Mexico,MEX,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2012,2016,2013,2014,2014,2015,2012,2011,2014,2014,2014,2014,2015,2012,2014,2012,2014,2015,2016,2015,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,2013,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Micronesia,FSM,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,2014,2015,2005,2010,2014,2014,x,2014,2015,x,x,x,2014,2015,2016,x,2015,2015,2014,2014,x,x,2011,2014,x,2012,x,2014,2014,2014,2015,2015,2014,2015,2014,2014,
Moldova Republic of,MDA,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2012,2016,2013,2014,2014,2015,2012,2013,2014,2014,2014,2014,2015,x,2014,2013,2014,2015,2016,x,2015,2015,2014,2014,2013,2013,2009,2014,2015,2012,2013,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Mongolia,MNG,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2010,2016,2013,2014,2014,2015,2013,2011,2014,2014,2013,2014,2015,x,2014,2012,2014,2015,2016,x,2015,2015,2014,2014,x,2012,2015,2014,2015,2012,2010,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Montenegro,MNE,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2013,2016,2013,2014,2014,2015,2013,2013,2014,2014,x,2014,2015,x,2014,2013,2014,2015,2016,x,2015,2015,2014,2014,x,x,2007,2014,2015,2012,2011,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Morocco,MAR,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2011,2016,2013,2014,2014,2015,2011,2010,2014,2014,2014,2014,2015,x,2014,2007,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2011,2014,2015,2012,2011,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Mozambique,MOZ,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2011,2016,2013,2014,2014,2015,2011,2012,2014,2014,2014,2014,2015,2012,2014,2009,2014,2015,2016,x,2015,2015,2014,2014,2012,2012,2015,2014,2015,2012,2009,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Myanmar,MMR,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,2014,2015,2009,2012,2014,2014,2014,2014,2015,2012,2014,x,2014,2015,2016,2015,2015,2015,2014,2014,2013,2013,2009,2014,2015,2012,2013,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Namibia,NAM,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2013,2016,2013,2014,2014,2015,2013,2010,2014,2014,2014,2014,2015,2012,2014,2009,2014,2015,2016,x,2015,2015,2014,2014,2013,2013,2009,2014,2015,2012,2007,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Nauru,NRU,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,x,x,2016,2013,2014,x,2015,2007,2010,2014,2014,x,2014,2015,x,x,x,2014,2015,2016,x,2015,2015,2014,2014,x,x,2011,2013,x,x,x,2011,2011,2014,2015,2015,2015,2015,2014,2014,
Nepal,NPL,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2011,2016,2013,2014,2014,2015,2011,x,2014,2014,2014,2014,2015,2012,2014,2010,2014,2015,2016,2015,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,2011,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Netherlands,NLD,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,x,2010,2014,2014,x,2014,2015,x,2014,2012,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,x,2014,2014,2014,2015,2015,2015,2015,2014,2014,
New Zealand,NZL,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,x,2010,2014,2014,x,2014,2015,x,2014,x,2014,2015,2016,x,2015,2015,2014,2014,2012,x,2015,2014,2015,2012,x,2014,2014,2014,x,2015,2015,2015,2014,2014,
Nicaragua,NIC,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2012,2016,2013,2014,2014,2015,2006,2014,2014,2014,2014,2014,2015,2012,2014,2009,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2009,2014,2015,2012,x,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Niger,NER,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2012,2016,2013,2014,2014,2015,2012,2010,2014,2014,2014,2014,2015,2012,2014,2011,2014,2015,2016,2015,2016,2015,2014,2014,2014,2014,2015,2014,2015,2012,2012,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Nigeria,NGA,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2013,2016,2013,2014,2014,2015,2014,2010,2014,2014,2014,2014,2015,2012,x,2010,2014,2015,2016,2016,2015,2015,2014,2014,2013,2013,2015,2014,2015,2012,2008,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Norway,NOR,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,x,2012,2014,2014,2014,2014,2015,x,2014,2012,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,x,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Oman,OMN,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,2009,2012,2014,2014,2014,2014,2015,x,2014,x,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,x,2014,2015,2012,2014,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Pakistan,PAK,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2013,2016,2013,2014,2014,2015,2012,2010,2014,2014,2014,2014,2015,2012,2014,2010,2014,2015,2016,2015,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,2012,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Palau,PLW,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,2014,2015,2010,2010,2014,2014,2010,2014,2015,x,x,x,2014,2015,2016,x,2015,2015,2014,2014,x,x,2011,2014,x,2012,2013,x,2014,2014,2015,2011,2015,2015,2014,2014,
Palestine,PSE,2014,2014,2014,2014,2014,2014,2014,2015,2015,2013,2016,2016,2015,2015,2014,2010,2016,2013,2014,2014,2015,2014,2012,2012,2014,x,x,2015,x,x,2009,2014,2015,2016,2015,2015,2015,2014,2014,x,x,2015,2014,x,2012,2014,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Panama,PAN,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,2014,2015,2008,2013,2014,2014,2014,2014,2015,2012,2014,2013,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2011,2014,2015,2012,2010,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Papua New Guinea,PNG,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,2014,2015,2011,2010,2014,2014,2014,2014,2015,2012,2014,2009,2014,2015,2016,2015,2015,2015,2014,2014,x,x,2011,2014,2015,2012,2013,2014,2014,2014,2015,2015,2014,2015,2014,2014,
Paraguay,PRY,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,2014,2015,2012,2012,2014,2014,2014,2014,2015,2012,2014,2013,2014,2015,2016,x,2015,2015,2014,2014,2013,2013,2009,2014,2015,2012,2014,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Peru,PER,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2012,2016,2013,2014,2014,2015,2012,2012,2014,2014,2014,2014,2015,2012,2014,2013,2014,2015,2016,2015,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,2012,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Philippines,PHL,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2013,2016,2013,2014,2014,2015,2011,x,2014,2014,2014,2014,2015,2012,2014,2012,2014,2015,2016,2015,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,2008,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Poland,POL,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,x,2012,2014,2014,2014,2014,2015,x,2014,2012,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,2013,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Portugal,PRT,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,x,2012,2014,2014,x,2014,2015,x,2014,2012,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,2011,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Qatar,QAT,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,x,2010,2014,2014,x,2014,2015,x,2014,x,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,2014,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Romania,ROU,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,x,2012,2014,2014,2013,2014,2015,x,2014,2012,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,2011,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Russian Federation,RUS,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,x,2010,2014,2014,x,2014,2015,x,2014,2012,2014,2015,2016,2015,2015,2015,2014,2014,2014,2014,x,2014,2015,2012,2010,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Rwanda,RWA,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2010,2016,2013,2014,2014,2015,2010,2010,2014,2014,2014,2014,2015,2012,2014,2011,2014,2015,2016,x,2016,2015,2014,2014,2013,2013,2015,2014,2015,2012,2012,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Saint Kitts and Nevis,KNA,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,x,x,2014,2014,x,2014,2015,x,x,x,2014,2015,2016,x,2015,2015,2014,2014,2014,x,2015,2014,x,2012,x,2014,2014,2014,2007,2015,2015,2015,2014,2014,
Saint Lucia,LCA,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2012,2016,2013,2014,2014,2015,2012,2012,2014,2014,x,2014,2015,x,x,x,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2009,2014,2013,2012,x,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Saint Vincent and the Grenadines,VCT,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,2014,2015,x,2012,2014,2014,x,2014,2015,x,x,x,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,x,2014,2015,2012,x,2014,2014,2014,2007,2015,2015,2015,2014,2014,
Samoa,WSM,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,2014,2015,2014,2010,2014,2014,x,2014,2015,x,2014,2008,2014,2015,2016,x,x,2015,2014,2014,x,x,2011,2014,2015,2012,2011,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Sao Tome and Principe,STP,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2009,2016,2013,2014,2014,2015,2008,x,2014,2014,2014,2014,2015,2012,x,2010,2014,2015,2016,x,2015,2015,2014,2014,x,x,x,2014,2015,2012,2008,2014,2014,2014,2015,2015,2014,2015,2014,2014,
Saudi Arabia,SAU,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,2005,2012,2014,2014,x,2014,2015,2012,2014,x,2014,2015,2016,x,2015,2015,2014,2014,2013,2014,x,2014,2015,2012,2013,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Senegal,SEN,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2014,2016,2013,2014,2014,2015,2014,2010,2014,2014,2014,2014,2015,2012,2014,2011,2014,2015,2016,2015,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,2013,2014,2014,2014,2015,2015,2015,2015,2014,2014,
